,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.702520171625074,1.6982652728024297,0.1886167174254244,0.13020052276684171,0.11476930628834495,0.11456896070546468,0.11412350609403324
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3205865338699505,1.3179815656554148,0.1425540291808776,0.09714479227962705,0.08367166866770409,0.08356263065889882,0.08318430508560803
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.4476068021072082,1.4442839363403324,0.11015679585800013,0.07548549168288343,0.06513776662957649,0.06501529884417588,0.06492312020109604
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.1404933898792873,2.1353347498037487,0.22657407720970787,0.153039126144142,0.13492156242616732,0.13472440105862576,0.1341891115582772
VBFHHbbVV,0.039351255043260674,0.03920695729906934,0.03907497453217168,0.003558946591850587,0.0024787862778212133,0.0014724015122624004,0.001468374209442835,0.0014654175741603726
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.821883109051342,25.80402102276243,3.5183919779055897,2.651693376804844,1.108319041245104,1.1060060455044076,1.1020569457108493
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.997215163068525,42.96260683262052,5.856556748971215,4.406676011106389,1.851922054730428,1.8478826190443365,1.8380530052240436
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.041054284373482686,0.04094876568163727,0.0021413738063746704,0.0015077188121831037,0.0009275942745177083,0.0009257328032795458,0.0009257328032795458
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.61028728937363,23.59518287714358,3.2177659980622018,2.4205165101341404,0.9938235558068451,0.9918867426237141,0.9874397147739027
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09916880555615576,0.09887153728314756,0.012077268671366298,0.008803792802490357,0.00497647598620898,0.004975103799949792,0.004962442464242282
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.976532185961757,13.96675801433889,1.8954323287176076,1.4234581289323738,0.592864349468407,0.5918099152171503,0.5891606763629549
