,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.7022678942821197,1.697912134457557,0.5617852435356145,0.5608562030546196,0.5574139681905119
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.320316884193909,1.3176400977779368,0.4597506036670443,0.45871107939535716,0.45571529571844543
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.44730905094112,1.4438382072429978,0.6567081295685905,0.6557606918026114,0.6520704282304456
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.140164387110753,2.1348246689713717,0.7144644467753782,0.7130199408814262,0.707961508541759
VBFHHbbVV,0.039351255043260674,0.03920160683130938,0.03907939297034425,0.013794850373598873,0.013730429096536512,0.013634598542531039
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.818577947810173,25.800578505321255,6.884297045624921,6.869837433045326,6.83125355023754
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.99320154541183,42.95875429378178,11.531543378351408,11.50437177395303,11.430798112210251
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.04103715673797558,0.040940360012980695,0.01990781525088745,0.019842168019004167,0.01968838574946673
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.607950811790502,23.591824563703163,6.287863068298657,6.275205445164689,6.237080879561872
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09916950464938773,0.09883691717809162,0.030260889232375084,0.030209301990125375,0.029943873872062397
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.974959221401965,13.965111361149063,3.753902345502599,3.745782789200347,3.7244915173078765
