,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.7075985364556217,1.707577313853422,0.034716133605995785,0.01762992820557379,0.01760246869057886,0.01754071523897278
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3241021014867034,1.3240873922312537,0.03164093315822697,0.016127801371024725,0.016132673140999403,0.01609723397439865
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.450796933435709,1.4507929098073984,0.02391164919289493,0.012428467638488493,0.012428467638488493,0.012428467638488493
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.147806420302488,2.1477186419747176,0.04407841331340814,0.02204073747121692,0.02204073747121692,0.02195744702360073
VBFHHbbVV,0.039351255043260674,0.03934698435071139,0.03934677884299076,0.0034444932115211763,0.001852942849989777,0.0018513773306868338,0.0018455700878739992
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.850419822107078,25.850351817971422,6.233983143165674,3.7822930713963077,3.778277515475421,3.766940764699718
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,43.05066644466481,43.050235311548946,10.20814013495972,6.177027781710648,6.169119971887235,6.149484625225602
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.0412150601628429,0.041211004244295794,0.0018568899863971244,0.001024031960459057,0.0010228089761352157,0.0010216534487914515
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.63577445845703,23.635591489542456,5.821671494714491,3.5365584284843936,3.5321363765880527,3.5203339495002384
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09948828864083283,0.09948751038982892,0.01199782854668095,0.006541755924692933,0.006541755924692933,0.006485946516922079
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.992659423170474,13.992624901671212,3.4064738280613214,2.065549514151342,2.062665920420976,2.0566206420689555
