,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29746478562898,12.276824134383794,12.272119845639592,1.603448951142984,0.8270327117570699,0.42135347786508537,0.42094291179252497,0.4197556771039694,,,
QCD,717986.2168149389,956785.8146709631,729009.8166378612,632770.6431251022,550725.6083517713,135510.98385109287,10453.816343768412,219.6839960276348,219.6839960276348,219.6839960276348,,,
TT,63126.80979180278,63126.80979180278,52307.752567227646,44608.88036847646,40960.186800860545,11240.490655559192,739.4335560684408,30.034802708989133,27.725025815849285,26.628147586694467,,,
ST,5417.824558008515,5417.824558008515,4420.060664662024,3896.6917550329294,3605.625484542623,976.2385540190331,70.18427515098554,5.430890973727626,5.108387807547059,4.967558662453652,,,
W+Jets,9487.889178263631,9487.889178263631,7788.631768429786,6872.1705167891205,6223.216524019337,1670.1744967445188,120.89268396903826,5.463992949778544,5.463992949778544,5.463992949778544,,,
Z+Jets,12055.822300436781,12055.822300436781,9653.42452532473,8537.411648615407,7693.774763522865,3575.315673210014,1201.5313732444072,40.088844185656995,39.840901546933225,39.712541870068605,,,
Diboson,544.751536187187,544.751536187187,447.1502602699485,405.1247830302423,366.00037339728885,151.40552585311343,50.78267982273236,2.3223958501692508,2.2346618613159546,2.2346618613159546,,,
ggFHbb,120.74204174793252,120.74204174793252,99.21531675410412,84.26484907163629,74.20384242952278,11.460205576042567,3.762940482824902,0.0721283268551066,0.0721283268551066,0.0721283268551066,,,
VBFHbb,32.24173303425971,32.24173303425971,27.03059633139585,23.886535018168956,21.91863065673472,3.180906678046629,1.3523512703431009,0.029966462544892686,0.029966462544892686,0.029966462544892686,,,
ZHbb,32.70020301080715,32.70020301080715,26.779028229277948,24.372369780348443,21.896097839711018,4.761720389899667,2.378572254028059,0.06849542072371197,0.06849542072371197,0.06751636290628975,,,
WHbb,56.014320595270185,56.014320595270185,45.634585674493024,42.152603379594915,38.02110436419921,5.76980072559895,2.1430862582174743,0.15068826350706005,0.15068826350706005,0.14709632158885771,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.0054118611177145,3.5371238620672836,3.2461063266471135,0.7655358290345271,0.2737313890300378,0.006580725545800656,0.006580725545800656,0.006580725545800656,,,
ttHbb,156.9411921655786,156.9411921655786,132.51692822171967,114.20200598186729,107.86841162910736,25.200096765644087,3.7928210236932394,0.16362513773527793,0.15114081822596992,0.13623306865399942,,,
HWW,80.56791059341468,80.56791059341468,68.14992710202029,57.30611607933538,53.740043166739774,14.471302477414948,1.3798369553466083,0.27652861255263494,0.2679599622549014,0.2610564621866658,,,
Data,1047903.0,1047903.0,,,,138048.0,9867.0,460.0,457.0,454.0,786824.0,657428.0,558947.0
