,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29839718720017,12.27773802809591,12.272812613011945,10.156192000340997,3.8043321257782714,1.9618068157567916,1.9582592729448556,1.9497854887703383,,,
QCD,717986.2168149389,956785.8146709631,726861.2686689944,631733.68895987,548486.0254915995,135165.4732908653,123951.95925091028,120403.44637783068,120073.01429693587,119561.31876293989,,,
TT,63126.80979180278,63126.80979180278,52180.64882571194,44474.013556633756,40779.74481033034,11142.446110784615,10399.4269232698,9934.261591475743,8603.266245794208,7762.203130279644,,,
ST,5417.824558008515,5417.824558008515,4410.108840782719,3887.2354206342284,3588.726731660046,959.7117829017282,887.8305601138521,844.3020916373787,756.4847851254517,685.9387548376128,,,
W+Jets,9487.889178263631,9487.889178263631,7766.534060225604,6861.006997181592,6200.111084590705,1003.2826979538971,942.913597876579,880.6608679022459,878.4194831801018,875.723367416462,,,
Z+Jets,12055.822300436781,12055.822300436781,9632.876880406508,8529.350203837557,7669.377366625927,1499.125424503604,1243.162081196988,1193.2865615525734,1190.0122632571733,1182.64787608053,,,
Diboson,544.751536187187,544.751536187187,446.7012941571987,405.6090965809698,365.4378053457647,44.771451611958824,35.822019867574085,34.11878846461505,32.234813533431584,30.96597692334214,,,
ggFHbb,120.74204174793252,120.74204174793252,99.01628386370527,84.05390007921997,73.97794031096234,57.91836730431771,27.917593567694073,27.342563004561484,27.30433286800553,27.180275563022796,,,
VBFHbb,32.24173303425971,32.24173303425971,26.91193918763821,23.83256642772014,21.833140058460792,17.424700723979967,7.85447336485538,7.6254854133557215,7.60492677447663,7.558829233770998,,,
ZHbb,32.70020301080715,32.70020301080715,26.726592651811874,24.344331060276595,21.82289402707317,14.816559552526716,7.081548816548185,6.746079945937685,6.731145000031331,6.688434038323798,,,
WHbb,56.014320595270185,56.014320595270185,45.540006597014084,42.10793858660798,37.8562894671351,28.8051780725581,14.096091912779285,13.207625342509294,13.171658740963204,13.088678849908398,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.999470476936972,3.535557587649001,3.2344200398911394,1.807191812163406,0.9748647886771535,0.9364015677842419,0.9346317191938762,0.9272539815919894,,,
ttHbb,156.9411921655786,156.9411921655786,132.3045815648638,113.85802878364558,107.51272262887578,40.509857667291406,27.9824422365322,26.78616972070344,23.276326574742992,20.211319040492707,,,
HWW,80.56791059341468,80.56791059341468,68.00471856066271,57.11598631015099,53.521453867681764,13.915806165794567,13.002738187842695,11.607100424132161,9.354223896471952,7.769917399966756,,,
Data,1047903.0,1047903.0,,,,136157.0,126862.0,121125.0,119155.0,117541.0,786824.0,657428.0,558947.0
