,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_up < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,10.165840368840831,3.8078464796118783,1.9624649018806228,1.9589173590686864,1.9505774521111663,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135452.49758350622,124205.5510018998,120671.22309391145,120340.79101301664,119836.92228854829,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11130.485186415315,10387.909417558696,9923.223764870216,8590.107041589024,7750.723165663518,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,962.8394846942138,890.2819611865093,846.7501360118416,759.466901017001,688.579460315775,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1007.0646848118179,945.5126074123275,883.5719039049828,881.3305191828388,878.697521897222,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1517.6941407823106,1256.0740646850559,1205.3368072682024,1201.8954255100018,1194.3263611029022,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,44.68628329100963,35.819317876786364,34.11608647382734,32.232111542643864,30.96327493255442,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,57.94047687230064,27.87614647229836,27.301115909165773,27.26288577260982,27.138828467627086,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,17.414882883655025,7.857722014462782,7.628734062963124,7.608175424084032,7.5620778833784,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,14.838938550627823,7.092245900240092,6.756777029629591,6.741842083723238,6.6975049229387205,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,28.824044886139568,14.118338449253397,13.230453365777086,13.193881960745902,13.111260843938819,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.8060098599496075,0.9748426152233423,0.9361433136448918,0.9343734650545259,0.9267542763977235,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,40.45357859338131,27.94865428246755,26.759180835713575,23.251525135469166,20.18855074876557,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,13.919536906966329,13.013666045620663,11.614249935161892,9.34357401580598,7.766739706288819,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,126862.0,121125.0,119155.0,117541.0,136157.0
