,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_down < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,10.270389400543737,3.850543121634321,1.9887503581618367,1.9849782455717149,1.9765209803852133,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135509.33658674182,124237.19014880003,120671.4798811499,120343.1697315922,119810.96229022807,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11168.752742609791,10424.208493990256,9955.108656816326,8617.754564772948,7775.833815435569,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,959.2867497943514,885.3190387005798,842.9591612374348,753.2162639880515,680.3977304318862,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1003.5379498865291,943.4978081031348,881.515299291221,879.2338283770275,876.5058680597479,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1477.177562387115,1233.0693344151282,1182.7192753912275,1179.4948022247374,1172.2551442048575,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,43.83835408854635,35.56455492924196,33.86132352628292,31.977348595099453,30.49619923103329,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,59.16921652555175,28.449332446554024,27.846462194319074,27.80823205776312,27.684174752780386,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,17.6780121103407,8.026675691903018,7.78703626471479,7.766477625835698,7.720380085130068,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,15.046767047753347,7.159775661367258,6.816664368716149,6.801729422809795,6.758024458428677,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,29.170672053023342,14.262633891125908,13.374937359821937,13.33742946421651,13.255195319456329,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.827596138391445,0.9905625706306403,0.9511824091731207,0.9493455630330003,0.941713279040641,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,40.83067845566455,28.12375696508078,26.937519125691104,23.400327209868884,20.33046022910099,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,13.931673359625535,13.037741705995007,11.608095079538472,9.305414525657579,7.740576141120269,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,126862.0,121125.0,119155.0,117541.0,136157.0
