,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.603906853519095,0.776641143839542,0.39506925724665487,0.3942093408672819,0.3910248904383944
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135245.52476248707,124798.65048272433,121465.47593183198,121322.91523970326,120844.91124285893
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11216.277905823792,10478.383828518508,10001.3375109834,8883.161416607607,7995.396600729681
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,972.5126366368854,902.4749078941334,856.6717608006313,787.0846865973231,715.4765265752092
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1665.5786223361065,1544.7680734769303,1468.6976315497993,1464.6083390587964,1460.1467563185433
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3567.3812009073145,2368.8556016458956,2287.894146062312,2282.670013798187,2272.4549646026408
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,151.57429729701957,100.95976931972561,96.41234185715618,91.70095415049497,87.47901022917891
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,11.449003296399654,7.665337890379598,7.591019664540608,7.591019664540608,7.56022005846225
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,3.180906678046629,1.828555407703528,1.8003008230686444,1.7916487451259981,1.7916487451259981
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,4.747032039059556,2.3835761000394013,2.288614126027954,2.28287190010396,2.256952464233958
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,5.749677050920649,3.6172270993049747,3.393354791582513,3.3897184287534303,3.367459125106695
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7632574333869867,0.4897252045810229,0.4753743747978878,0.4732122736001113,0.4677172319915718
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,25.183625753597866,21.39578417756104,20.581101822913055,18.06121982956676,15.85644448985194
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.434491464770478,13.058532172232487,11.347119549034693,9.176214164103513,7.666438233719791
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,138048.0,128181.0,122390.0,120795.0,119231.0
