,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.300274725995397,12.281154891719957,12.276868807274052,1.6047118193881627,0.7772185180335244,0.3956123691433943,0.3947524527640214,0.3915137864895823,,,
QCD,717986.2168149389,956785.8146709631,741150.9007846708,648461.7295631297,564755.7159330244,138986.6544241415,128279.66262145349,124910.38719291179,124705.72404738527,124222.3864177881,,,
TT,63126.80979180278,63126.80979180278,52873.43599416053,45464.34440566228,41848.55973803143,11518.358812186654,10762.636812276409,10273.74883684368,9124.571495729135,8207.147018187421,,,
ST,5417.824558008515,5417.824558008515,4471.8520624987905,3968.542857094534,3681.113886809768,998.4065982425169,925.9204204527904,879.6668240384039,808.0981377201006,734.863482503964,,,
W+Jets,9487.889178263631,9487.889178263631,7884.872727254259,7004.596697508541,6353.021859276834,1703.2191976142935,1579.875385081525,1502.5312415330272,1498.4419490420241,1493.980366301771,,,
Z+Jets,12055.822300436781,12055.822300436781,9793.303260964854,8714.952250749071,7865.97852737521,3658.54814601042,2429.8698672172677,2347.6963357587383,2342.3247162074176,2331.6705152969726,,,
Diboson,544.751536187187,544.751536187187,452.58986876008356,412.6329832891736,373.40818360617834,154.97723539040857,103.08319640875479,98.53576894618536,93.7501092282167,89.52816530690066,,,
ggFHbb,120.74204174793252,120.74204174793252,100.37286639508696,86.1090233477592,76.33069062815309,11.945256138001437,8.004484616706483,7.918960326842633,7.918960326842633,7.876219332695806,,,
VBFHbb,32.24173303425971,32.24173303425971,27.351631117018236,24.381483770328988,22.380544292889894,3.2800564102713397,1.8813046411450935,1.85305005651021,1.8443979785675642,1.8311272922766304,,,
ZHbb,32.70020301080715,32.70020301080715,27.130351521381897,24.82507826924223,22.333952519764,4.859880394266536,2.4306324371469223,2.3356704631354748,2.3299282372114805,2.304008801341479,,,
WHbb,56.014320595270185,56.014320595270185,46.23189292940414,42.91435748045733,38.79438753797529,5.901366485161554,3.7151574227061803,3.4836256174723514,3.4799892546432694,3.457030294003034,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.056299477621234,3.605601612801594,3.3144790531608406,0.7803752844134303,0.5007693910879641,0.4856200515909113,0.4834579503931349,0.47796290878459535,,,
ttHbb,156.9411921655786,156.9411921655786,133.76469553301519,116.11617041575103,109.8469165023967,25.721138579372525,21.877887229261397,21.04441919467289,18.464930288607626,16.194033322131972,,,
HWW,80.56791059341468,80.56791059341468,68.74974369475333,58.34478898456673,54.78950148537358,14.784678658135432,13.367966833794814,11.612053419063326,9.380500859938438,7.828854411669303,,,
Data,1047903.0,1047903.0,,,,138048.0,128181.0,122390.0,120795.0,119231.0,786824.0,657428.0,558947.0
