,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_up < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.5937491532007244,0.8213334694517432,0.41778170849800533,0.4174065206085795,0.41628772082433574,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135666.1362598692,10523.166853342196,219.2728909742267,219.2728909742267,219.2728909742267,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11148.407416648311,735.16229847902,29.228661571575188,27.038648938871738,25.94177070971692,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,970.7577520041514,69.90674230321866,5.190034839784004,4.867531673603437,4.726702528510031,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1681.7941721109826,121.76549730424324,5.463992949778544,5.463992949778544,5.463992949778544,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3570.105913125911,1202.829585721765,39.94378173011057,39.6958390913868,39.567479414522175,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,153.77394072046476,51.1319743344326,2.3223958501692508,2.2346618613159546,2.2346618613159546,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,11.489146062335148,3.8220213500299955,0.0721283268551066,0.0721283268551066,0.0721283268551066,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,3.1910816405657947,1.3627999159581015,0.029966462544892686,0.029966462544892686,0.029966462544892686,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,4.775329263722346,2.380210824384693,0.06849542072371197,0.06849542072371197,0.06751636290628975,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,5.784819288751095,2.1629731316767,0.15576558502942855,0.15576558502942855,0.15217364311122622,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7692303728281515,0.27709937063773604,0.006499163210213277,0.006499163210213277,0.006499163210213277,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,25.06908526604845,3.7984251162659155,0.15584542228939052,0.14405682331902814,0.12914907374705767,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.385763337228543,1.3724400702398052,0.2783654126473301,0.2697967623495965,0.2628932622813609,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,9867.0,460.0,457.0,454.0,138048.0
