,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,10.156210727247592,6.351990648614841,3.2232358495527964,3.220022649739806,3.211176392710765
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135349.43458717986,11235.747978039108,396.6604567029958,396.6604567029958,396.6604567029958
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11181.649456106159,746.1449345137117,30.550690215242966,27.094098289787116,26.310327291767003
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,964.3217141516561,72.60821742835957,3.3794145767628136,3.122916049460451,2.9856961880765476
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1005.4440813750452,61.545927605869444,5.280733254106997,5.280733254106997,5.280733254106997
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1504.0060933968462,257.08007276299,8.55110187927162,8.55110187927162,8.55110187927162
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,44.83130201545105,8.866965414223264,0.0817828490005958,0.0817828490005958,0.0817828490005958
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,57.96530279859477,30.102686344012223,0.7566098625968669,0.7566098625968669,0.7566098625968669
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,17.450531780588292,9.577087843503895,0.23262997982437306,0.23262997982437306,0.23262997982437306
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,14.847359704221534,7.747899970889076,0.418481071258579,0.418481071258579,0.418481071258579
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,28.859477367530904,14.735382372519943,1.0836934985884268,1.0824093900052385,1.0759068457339915
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.810911870599274,0.8338883144592099,0.03203133838844849,0.03203133838844849,0.03150648103948407
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,40.61223164036895,12.554374420135625,0.5181389017209572,0.49043740162289395,0.4370295001164776
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,13.986000379037375,0.9127282505089372,0.13649657337856946,0.1327158758538029,0.12587606276706872
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,136157.0,9295.0,421.0,418.0,412.0
