,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_up < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,2.0850365792459202,0.949190567264134,0.4821257135273364,0.481475485882228,0.4777499262957656,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,134445.9258789395,123973.28000831377,120705.78404758847,120538.90507654494,120022.54900812994,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11424.691994911003,10649.387999371802,10167.502578133353,9056.629805354843,8157.396984860208,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,1001.9158188221504,926.9535124836142,879.4738707863672,807.342127680447,734.0611846315657,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1693.8617544020149,1574.3608099809521,1495.5742252363711,1491.2392290117332,1486.8923004652352,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3285.0793288172827,2203.740420250945,2127.6348814010908,2123.302122105056,2114.599737056641,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,147.66795933814814,102.10290222379865,97.63378121514319,93.25596746138925,88.86162231792395,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,14.600725150276567,8.88971540105165,8.795126812899762,8.780635036236045,8.71551554542257,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,4.176584489135026,2.3199845869014397,2.2344495805495654,2.2257975026069197,2.2199202367117055,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.232182456264819,2.6175684454994927,2.5082333354166253,2.499160232550659,2.473775446863266,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,7.322213247933963,4.310055704399154,4.055906710070559,4.047661392707051,4.028403555525818,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7991349270496839,0.5038632259096694,0.49056920306486695,0.48864211296721555,0.4836787101463526,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,26.15210873730375,21.816000711471833,20.979152354719172,18.40324797433485,16.123307063991266,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.668628324728727,13.317071335988162,11.599219942488336,9.409718536287503,7.839560603867851,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,128181.0,122390.0,120795.0,119231.0,138048.0
