,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29746478562898,12.276824134383794,12.272119845639592,1.603448951142984,0.7764162393859139,0.3948443527930268,0.3939844364136539,0.3907999859847664,,,
QCD,717986.2168149389,956785.8146709631,729009.8166378612,632770.6431251022,550725.6083517713,135510.98385109287,125057.16750732446,121723.9929564321,121581.43226430338,121103.42826745906,,,
TT,63126.80979180278,63126.80979180278,52307.752567227646,44608.88036847646,40960.186800860545,11240.490655559192,10501.05709949075,10023.26543609231,8900.075286162923,8008.473988185997,,,
ST,5417.824558008515,5417.824558008515,4420.060664662024,3896.6917550329294,3605.625484542623,976.2385540190331,906.0542788680476,860.2302737913939,790.405454379257,718.6644331434729,,,
W+Jets,9487.889178263631,9487.889178263631,7788.631768429786,6872.1705167891205,6223.216524019337,1670.1744967445188,1549.2818127754806,1473.025145097079,1468.8704919368383,1464.4089091965852,,,
Z+Jets,12055.822300436781,12055.822300436781,9653.42452532473,8537.411648615407,7693.774763522865,3575.315673210014,2373.784299965607,2292.720697080828,2287.496564816703,2277.362150858112,,,
Diboson,544.751536187187,544.751536187187,447.1502602699485,405.1247830302423,366.00037339728885,151.40552585311343,100.62284603038108,96.14333721869583,91.4319495120346,87.21000559071857,,,
ggFHbb,120.74204174793252,120.74204174793252,99.21531675410412,84.26484907163629,74.20384242952278,11.460205576042567,7.6972650932176645,7.622946867378675,7.622946867378675,7.592147261300317,,,
VBFHbb,32.24173303425971,32.24173303425971,27.03059633139585,23.886535018168956,21.91863065673472,3.180906678046629,1.828555407703528,1.8003008230686444,1.7916487451259981,1.7916487451259981,,,
ZHbb,32.70020301080715,32.70020301080715,26.779028229277948,24.372369780348443,21.896097839711018,4.761720389899667,2.3831481358716076,2.290337156148309,2.2845949302243147,2.2586754943543133,,,
WHbb,56.014320595270185,56.014320595270185,45.634585674493024,42.152603379594915,38.02110436419921,5.76980072559895,3.6267144673814764,3.4008063658361043,3.397170003007022,3.374910699360287,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.0054118611177145,3.5371238620672836,3.2461063266471135,0.7655358290345271,0.49180444000448925,0.4771302401245481,0.47496813892677164,0.46947309731823217,,,
ttHbb,156.9411921655786,156.9411921655786,132.51692822171967,114.20200598186729,107.86841162910736,25.200096765644087,21.407275741950848,20.592452488408682,18.065072181561824,15.860039921149856,,,
HWW,80.56791059341468,80.56791059341468,68.14992710202029,57.30611607933538,53.740043166739774,14.471302477414948,13.09146552206834,11.378145289656416,9.192641879111022,7.67434321812242,,,
Data,1047903.0,1047903.0,,,,138048.0,128181.0,122390.0,120795.0,119231.0,786824.0,657428.0,558947.0
