,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_up < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,9.619934806614351,3.60676279335606,1.862750884872365,1.8592033420604286,1.8511965050585766,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,134450.0263367348,123240.69351532581,119725.86963139595,119430.11177930493,118948.9976215613,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11311.59467646267,10557.206526839374,10085.554547830103,8752.5833496865,7893.602148586389,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,963.6458138301302,891.5741631040025,850.4170034112624,763.0048489014962,689.2663709566481,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1024.1371635040366,960.5121142975449,900.401844715947,898.111656386563,895.5236498202567,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1616.0679655702506,1310.2532371719385,1258.5137582879888,1254.7933465075462,1247.0745293128612,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,48.15834572402321,36.951322344498564,35.27403715719797,33.31401578978066,32.30980269015855,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,54.60439754325901,26.649240742204604,26.09448054138491,26.070742181492676,25.981004761245057,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,16.371494058416637,7.339471841652357,7.156480465462732,7.13592182658364,7.095701551773223,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,14.119474877423945,6.748448507085594,6.4313989680834585,6.4179114314086725,6.377261327683897,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,27.089756395658625,13.314106259363038,12.468143234995594,12.436180784498836,12.351016427139573,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.746975152676536,0.9484415172720426,0.9107209103279713,0.9085968814714588,0.9007425964114049,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,39.64021473062207,27.694982230631354,26.513833009342694,23.089344423937654,20.094625758201623,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,13.927401530898507,12.998774404899887,11.614314613602282,9.349859375783089,7.783645310052903,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,126862.0,121125.0,119155.0,117541.0,136157.0
