,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_up < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,9.619934806614351,6.013172013258291,3.0549567388654513,3.051824186561936,3.0436432165400404,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,134450.0263367348,11209.332821409,376.9369148283064,376.9369148283064,376.9369148283064,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11311.59467646267,754.3881496232957,29.9551873649552,26.63974984180065,25.83939123693787,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,963.6458138301302,72.07165072612764,4.045821007980792,3.78932248067843,3.652102619294526,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1024.1371635040366,63.62504920649163,4.931751791313983,4.931751791313983,4.931751791313983,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1616.0679655702506,305.81472839831224,10.298186460476636,10.298186460476636,10.298186460476636,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,48.15834572402321,11.207023379524648,0.0817828490005958,0.0817828490005958,0.0817828490005958,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,54.60439754325901,27.955156801054414,0.7246375418556721,0.7246375418556721,0.7246375418556721,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,16.371494058416637,9.032022216764279,0.19788872357043857,0.19788872357043857,0.19788872357043857,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,14.119474877423945,7.371026370338351,0.4030681739406192,0.4030681739406192,0.4030681739406192,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,27.089756395658625,13.775650136295585,1.0026316963947233,1.0013475878115348,0.995723603199929,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.746975152676536,0.7985336354044935,0.03067087377457339,0.03067087377457339,0.030146016425608983,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,39.64021473062207,11.945232499990716,0.501170218468991,0.4771116144254979,0.42379862662777196,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,13.927401530898507,0.9286271259986217,0.12649579901819222,0.12081103294391424,0.11542172316299051,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,9295.0,421.0,418.0,412.0,136157.0
