,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29746478562898,12.276824134383794,12.272119845639592,10.156062546122742,6.351836616964431,3.2232358495527964,3.220022649739806,3.211176392710765,,,
QCD,717986.2168149389,956785.8146709631,729009.8166378612,632770.6431251022,550725.6083517713,135559.78698825423,11296.163323403038,396.6604567029958,396.6604567029958,396.6604567029958,,,
TT,63126.80979180278,63126.80979180278,52307.752567227646,44608.88036847646,40960.186800860545,11218.93330721411,748.8417381428825,30.460597350765628,27.035674495797547,26.251903497777434,,,
ST,5417.824558008515,5417.824558008515,4420.060664662024,3896.6917550329294,3605.625484542623,965.6884318505158,72.96084447710679,3.3794145767628136,3.122916049460451,2.9856961880765476,,,
W+Jets,9487.889178263631,9487.889178263631,7788.631768429786,6872.1705167891205,6223.216524019337,1007.5368080080973,61.585167436616445,5.280733254106997,5.280733254106997,5.280733254106997,,,
Z+Jets,12055.822300436781,12055.822300436781,9653.42452532473,8537.411648615407,7693.774763522865,1507.7943167760839,258.4336015178253,8.55110187927162,8.55110187927162,8.55110187927162,,,
Diboson,544.751536187187,544.751536187187,447.1502602699485,405.1247830302423,366.00037339728885,44.855672257293904,8.866965414223264,0.0817828490005958,0.0817828490005958,0.0817828490005958,,,
ggFHbb,120.74204174793252,120.74204174793252,99.21531675410412,84.26484907163629,74.20384242952278,58.20528158123168,30.127209554266358,0.7654682696368158,0.7654682696368158,0.7654682696368158,,,
VBFHbb,32.24173303425971,32.24173303425971,27.03059633139585,23.886535018168956,21.91863065673472,17.51863158857814,9.604520164541512,0.23262997982437306,0.23262997982437306,0.23262997982437306,,,
ZHbb,32.70020301080715,32.70020301080715,26.779028229277948,24.372369780348443,21.896097839711018,14.85772140997937,7.7527433326274675,0.4150641375697237,0.4150641375697237,0.4150641375697237,,,
WHbb,56.014320595270185,56.014320595270185,45.634585674493024,42.152603379594915,38.02110436419921,28.92888275580688,14.762062943681958,1.0853280545308528,1.0840439459476645,1.0775414016764175,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.0054118611177145,3.5371238620672836,3.2461063266471135,1.8140508137722462,0.8345693453352416,0.0315182057255,0.0315182057255,0.030993348376535588,,,
ttHbb,156.9411921655786,156.9411921655786,132.51692822171967,114.20200598186729,107.86841162910736,40.701442391463125,12.580561086026421,0.5199964170359576,0.49229491693789423,0.4388870154314779,,,
HWW,80.56791059341468,80.56791059341468,68.14992710202029,57.30611607933538,53.740043166739774,14.033753274287465,0.9162605785888311,0.13649657337856946,0.1327158758538029,0.12587606276706872,,,
Data,1047903.0,1047903.0,,,,136157.0,9295.0,421.0,418.0,412.0,786824.0,657428.0,558947.0
