,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_up < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,10.165840368840831,6.357993889228953,3.2268315879157012,3.2235830099195764,3.2148098503815383,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135452.49758350622,11246.94658160639,397.0715617564039,397.0715617564039,397.0715617564039,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11130.485186415315,742.575768856623,30.575629813647673,26.999273627755425,26.215502629735315,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,962.8394846942138,72.55752350770429,3.4454464038764563,3.1889478765740935,3.0517280151901898,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1007.0646848118179,61.55207739949048,5.280733254106997,5.280733254106997,5.280733254106997,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1517.6941407823106,261.6200760972549,8.747696968860787,8.747696968860787,8.747696968860787,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,44.68628329100963,8.866965414223264,0.0817828490005958,0.0817828490005958,0.0817828490005958,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,57.94047687230064,30.064330400002284,0.7566098625968669,0.7566098625968669,0.7566098625968669,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,17.414882883655025,9.557160869192241,0.23262997982437306,0.23262997982437306,0.23262997982437306,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,14.838938550627823,7.746692650387731,0.418481071258579,0.418481071258579,0.418481071258579,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,28.824044886139568,14.705706436886171,1.0781998376948636,1.0769157291116755,1.0704131848404284,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.8060098599496075,0.831167244726265,0.03211290072403586,0.03211290072403586,0.031588043375071456,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,40.45357859338131,12.504924310913754,0.5209751582470971,0.4932736581490337,0.4398657566426174,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,13.919536906966329,0.9058708613456655,0.13649657337856946,0.1327158758538029,0.12587606276706872,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,9295.0,421.0,418.0,412.0,136157.0
