,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29746478562898,12.276824134383794,12.272119845639592,12.255451452058296,12.215456658891686,,,
QCD,717986.2168149389,956785.8146709631,729009.8166378612,632770.6431251022,550725.6083517713,549786.4577879142,547782.1385359293,,,
TT,63126.80979180278,63126.80979180278,52307.752567227646,44608.88036847646,40960.186800860545,36930.43372039223,33207.85003084872,,,
ST,5417.824558008515,5417.824558008515,4420.060664662024,3896.6917550329294,3605.625484542623,3311.005431906022,2994.556476492892,,,
W+Jets,9487.889178263631,9487.889178263631,7788.631768429786,6872.1705167891205,6223.216524019337,6208.85303239082,6190.9184869398205,,,
Z+Jets,12055.822300436781,12055.822300436781,9653.42452532473,8537.411648615407,7693.774763522865,7676.7532874107765,7641.790802543487,,,
Diboson,544.751536187187,544.751536187187,447.1502602699485,405.1247830302423,366.00037339728885,350.5616014370535,332.4536581416347,,,
ggFHbb,120.74204174793252,120.74204174793252,99.21531675410412,84.26484907163629,74.20384242952278,74.06827751457064,73.76073351394768,,,
VBFHbb,32.24173303425971,32.24173303425971,27.03059633139585,23.886535018168956,21.91863065673472,21.8791974034685,21.80720327787541,,,
ZHbb,32.70020301080715,32.70020301080715,26.779028229277948,24.372369780348443,21.896097839711018,21.854988388522244,21.69959663434441,,,
WHbb,56.014320595270185,56.014320595270185,45.634585674493024,42.152603379594915,38.02110436419921,37.94914121060579,37.740472794087104,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.0054118611177145,3.5371238620672836,3.2461063266471135,3.2380188758222954,3.210923566098745,,,
ttHbb,156.9411921655786,156.9411921655786,132.51692822171967,114.20200598186729,107.86841162910736,95.55360689412174,83.04531840727269,,,
HWW,80.56791059341468,80.56791059341468,68.14992710202029,57.30611607933538,53.740043166739774,45.14416796716741,38.01144703268404,,,
Data,1047903.0,1047903.0,,,,552841.0,546034.0,786824.0,657428.0,558947.0
