,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_down < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.6113179556588824,0.7795280525770096,0.39714097319251684,0.39628105681314385,0.3931636650144019,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135090.61312379898,124688.09158294549,121366.76294662086,121222.21412294157,120743.194304054,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11285.46931773515,10540.84833209125,10062.119753115205,8941.35371278668,8048.698769872713,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,977.1447849472266,905.9208535325974,859.4758221280655,790.359334196528,719.7159270257649,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1647.8256103909487,1529.9434380710925,1454.2032661844646,1450.1139736934613,1445.5939020945368,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3557.544313606522,2364.3855224370964,2283.90874481935,2278.5838173879506,2268.345737229153,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,150.45559227420267,100.24705122253121,95.65013710046976,90.93874939380856,86.71680547249251,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,11.390759081150517,7.616197066293381,7.541878840454391,7.541878840454391,7.511079234376034,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,3.20561820384545,1.824282548618271,1.7960279639833876,1.7873758860407416,1.7873758860407416,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,4.698320000541764,2.3502360807952876,2.263507881756099,2.2558211354590116,2.2299016995890097,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,5.72303645006117,3.6170470094604656,3.3885299333682264,3.384893570539144,3.36217823494247,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.763433996968001,0.4905082277260501,0.4764197343977336,0.47439326160025075,0.4688982199917113,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,25.260921572202193,21.47107203281552,20.657168729582352,18.114700055433143,15.91049296822985,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.56265806050573,13.18560969731267,11.462659706462299,9.257429755524367,7.740127510297025,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,128181.0,122390.0,120795.0,119231.0,138048.0
