,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.603906853519095,0.8272657096795529,0.42135347786508537,0.42094291179252497,0.4197556771039694
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135245.52476248707,10446.874279762736,219.6839960276348,219.6839960276348,219.6839960276348
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11216.277905823792,737.8940773052841,29.86138274906598,27.551605855926137,26.454727626771316
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,972.5126366368854,70.03772874275202,5.430890973727626,5.108387807547059,4.967558662453652
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1665.5786223361065,120.81054885917634,5.463992949778544,5.463992949778544,5.463992949778544
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3567.3812009073145,1198.5255992614188,40.043110534588365,39.795167895864594,39.66680821899997
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,151.57429729701957,50.614527977293946,2.3223958501692508,2.2346618613159546,2.2346618613159546
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,11.449003296399654,3.7836654060200567,0.0721283268551066,0.0721283268551066,0.0721283268551066
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,3.180906678046629,1.3523512703431009,0.029966462544892686,0.029966462544892686,0.029966462544892686
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,4.747032039059556,2.363455939020155,0.06849542072371197,0.06849542072371197,0.06751636290628975
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,5.749677050920649,2.1324499516156745,0.1502719241358654,0.1502719241358654,0.14667998221766304
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7632574333869867,0.27353222880596373,0.006580725545800656,0.006580725545800656,0.006580725545800656
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,25.183625753597866,3.787841576036823,0.16362513773527793,0.15114081822596992,0.13623306865399942
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.434491464770478,1.3759592925379902,0.27717040725615977,0.2686017569584262,0.26169825689019055
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,138048.0,9867.0,460.0,457.0,454.0
