,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29839718720017,12.27773802809591,12.272812613011945,1.6040967393526884,0.7767759788879258,0.39509807345784886,0.39423815707847587,0.3910537066495885,,,
QCD,717986.2168149389,956785.8146709631,726861.2686689944,631733.68895987,548486.0254915995,134944.5409163719,124592.23013264762,121265.87321820193,121104.29849407825,120626.29449723393,,,
TT,63126.80979180278,63126.80979180278,52180.64882571194,44474.013556633756,40779.74481033034,11186.908399854765,10450.434854304722,9974.060189042071,8862.590735881475,7979.7390254436505,,,
ST,5417.824558008515,5417.824558008515,4410.108840782719,3887.2354206342284,3588.726731660046,968.9366315880426,899.2872745741486,853.9883345092147,784.8284265309137,713.6642103703322,,,
W+Jets,9487.889178263631,9487.889178263631,7766.534060225604,6861.006997181592,6200.111084590705,1661.0107493745945,1540.3833188097838,1464.3128768826532,1460.22358439165,1455.762001651397,,,
Z+Jets,12055.822300436781,12055.822300436781,9632.876880406508,8529.350203837557,7669.377366625927,3562.499606671101,2364.0092204595257,2283.028032814282,2277.8234967257617,2267.654053306565,,,
Diboson,544.751536187187,544.751536187187,446.7012941571987,405.6090965809698,365.4378053457647,151.37234932051223,100.95882382720097,96.41139636463154,91.82199501750233,87.60005109618629,,,
ggFHbb,120.74204174793252,120.74204174793252,99.01628386370527,84.05390007921997,73.97794031096234,11.513595589593853,7.735546098404368,7.661227872565377,7.661227872565377,7.630428266487019,,,
VBFHbb,32.24173303425971,32.24173303425971,26.91193918763821,23.83256642772014,21.833140058460792,3.199799744805499,1.8418260939944613,1.8135715093595777,1.8049194314169317,1.7916487451259981,,,
ZHbb,32.70020301080715,32.70020301080715,26.726592651811874,24.344331060276595,21.82289402707317,4.732226220904479,2.380447834117066,2.2854858601056183,2.279743634181624,2.253824198311622,,,
WHbb,56.014320595270185,56.014320595270185,45.540006597014084,42.10793858660798,37.8562894671351,5.730573151040302,3.602181624803853,3.3792866667696635,3.3756503039405814,3.353391000293846,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.999470476936972,3.535557587649001,3.2344200398911394,0.7618260429997935,0.48916183323301377,0.47481100344987864,0.4726489022521021,0.4671538606435626,,,
ttHbb,156.9411921655786,156.9411921655786,132.3045815648638,113.85802878364558,107.51272262887578,25.123859402124737,21.346887715850265,20.53209733351498,18.025729225241975,15.82194760882527,,,
HWW,80.56791059341468,80.56791059341468,68.00471856066271,57.11598631015099,53.521453867681764,14.406587283137137,13.033254330004958,11.321688517707893,9.157525513309217,7.652697307105317,,,
Data,1047903.0,1047903.0,,,,138048.0,128181.0,122390.0,120795.0,119231.0,786824.0,657428.0,558947.0
