,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_down < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,10.148685963796295,6.34696848858407,3.2200739047508957,3.216860704937905,3.2081458584637543,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135156.38385808788,11251.287770517363,400.4024615690005,400.4024615690005,400.4024615690005,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11234.403081384085,749.7563329001587,30.727172037565587,27.31140281273673,26.52763181471662,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,964.096287726557,72.34048779794998,3.3794145767628136,3.122916049460451,2.9856961880765476,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1005.1129173667822,61.69521869349383,5.280733254106997,5.280733254106997,5.280733254106997,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1494.0014275993724,251.911788670362,8.313693257564385,8.313693257564385,8.313693257564385,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,44.08314335980303,8.543868070007557,0.0817828490005958,0.0817828490005958,0.0817828490005958,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,58.00953231630446,30.131163063734427,0.7871122395222632,0.7871122395222632,0.7871122395222632,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,17.43547341158399,9.557756615414336,0.23262997982437306,0.23262997982437306,0.23262997982437306,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,14.88149211493053,7.756933061651614,0.41838080901030295,0.41838080901030295,0.41838080901030295,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,28.894062584557986,14.769151065393729,1.0883013061880917,1.0870171976049032,1.0805146533336563,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.81259497897013,0.8339800213162023,0.032296341750585524,0.032296341750585524,0.031771484401621114,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,40.77672653279183,12.596167679087145,0.5228328047951759,0.49513130469711253,0.4417234031906962,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.021016522727592,0.906968877857796,0.13161069790051408,0.12783000037574754,0.12099018728901337,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,9295.0,421.0,418.0,412.0,136157.0
