,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_down < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,10.148685963796295,3.8017174752122256,1.960090300916323,1.9565427581043866,1.9480019152997239,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135156.38385808788,123905.09608757054,120349.44420250709,120016.63516037096,119504.79714952307,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11234.403081384085,10484.646748483929,10015.068774417792,8673.760003602985,7823.0012801430885,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,964.096287726557,891.7557999286072,848.4310854836386,759.8267122544795,688.5367040994296,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1005.1129173667822,943.4176986732883,882.1866501015305,879.9452653793865,877.3076384744181,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1494.0014275993724,1242.0896389290106,1192.0224799399125,1188.848976811788,1181.264123396461,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,44.08314335980303,35.53927528979548,33.836043886836435,31.952068955652972,30.68323234556353,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,58.00953231630446,27.87836925257004,27.30333868943745,27.2651085528815,27.141051247898762,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,17.43547341158399,7.877716796169655,7.648728844669995,7.628170205790903,7.582072665085272,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,14.88149211493053,7.124559053278917,6.780856407696156,6.765921461789803,6.7215843010052865,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,28.894062584557986,14.124911519164257,13.242030272347336,13.205458867316153,13.122935008211284,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.81259497897013,0.978614957653928,0.9401517367610164,0.938246259770357,0.9306270711135545,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,40.77672653279183,28.180558853704678,26.980942315310322,23.454998196061805,20.366218132656687,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.021016522727592,13.114047644869796,11.709077398333468,9.435244514402072,7.836171714102984,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,126862.0,121125.0,119155.0,117541.0,136157.0
