,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.295973733596218,12.27299924015545,12.267258609940066,10.152105116027926,6.350191133628028,3.2230203606066565,3.2198071607936667,3.210960903764625,,,
QCD,717986.2168149389,956785.8146709631,714183.7122934387,615968.1702424847,534236.9358198404,131642.23730156815,10883.64828374924,396.6604567029958,396.6604567029958,396.6604567029958,,,
TT,63126.80979180278,63126.80979180278,51552.40658402823,43559.983542841306,39844.97146424679,10801.049102927795,720.5748957111047,29.55778091721914,26.19312622299744,25.409355224977332,,,
ST,5417.824558008515,5417.824558008515,4361.068752752759,3819.871731622292,3521.855697590972,935.1490262357639,70.16580997679075,2.641727879383303,2.3852293520809407,2.2480094906970365,,,
W+Jets,9487.889178263631,9487.889178263631,7663.693473168243,6730.642393715154,6069.305766287863,978.3139359385411,59.602672289224266,5.280733254106997,5.280733254106997,5.280733254106997,,,
Z+Jets,12055.822300436781,12055.822300436781,9496.976194397968,8352.866691231726,7497.505824419099,1464.7020468491198,250.15917167619094,8.385259375136608,8.385259375136608,8.385259375136608,,,
Diboson,544.751536187187,544.751536187187,440.36621517608273,397.1988602913971,356.2708525687135,43.82591358831766,8.801061943199263,0.0817828490005958,0.0817828490005958,0.0817828490005958,,,
ggFHbb,120.74204174793252,120.74204174793252,97.39743646948253,82.01494622632748,71.89749297075578,56.31334470583722,29.259450159735223,0.7566098625968669,0.7566098625968669,0.7566098625968669,,,
VBFHbb,32.24173303425971,32.24173303425971,26.59309169750412,23.388254219990884,21.445052520144394,17.12285661364315,9.394004316118473,0.2237977348649417,0.2237977348649417,0.2237977348649417,,,
ZHbb,32.70020301080715,32.70020301080715,26.319653747722505,23.831891324818347,21.340808960221036,14.488649265485739,7.583862920319114,0.4157780392338851,0.4157780392338851,0.4157780392338851,,,
WHbb,56.014320595270185,56.014320595270185,44.859328399588755,41.31579435840018,37.07425829551195,28.235569114987985,14.441282837481882,1.0634888228944392,1.0625875588932039,1.056085014621957,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.9494503683419864,3.4627537223512252,3.1662752209215874,1.7631736247463645,0.8127226465423951,0.03074359502491423,0.03074359502491423,0.03021873767594982,,,
ttHbb,156.9411921655786,156.9411921655786,130.92692083412456,111.777819996592,105.38411473235499,39.54814288608805,12.27520888253486,0.5106138019907536,0.48291230189269024,0.42950440038627385,,,
HWW,80.56791059341468,80.56791059341468,67.37046338332074,56.03193342889442,52.46517561431856,13.574216374584495,0.8917435668879671,0.13563887993948393,0.1318581824147174,0.12501836932798321,,,
Data,1047903.0,1047903.0,,,,136157.0,9295.0,421.0,418.0,412.0,786824.0,657428.0,558947.0
