,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_up < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.5937491532007244,0.7724156837489812,0.3939410888493098,0.3930811724699368,0.38976284482405243,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135666.1362598692,125142.96940652703,121786.21447116463,121643.65377903587,121157.82297266395,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11148.407416648311,10413.245118169289,9939.67848487493,8824.18272379829,7944.027632278665,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,970.7577520041514,900.8510097009328,855.5439860315381,785.1413715845572,713.3576143570945,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1681.7941721109826,1560.0286748067394,1483.52030676997,1479.451282314847,1474.9265810965708,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3570.105913125911,2367.276327404146,2286.4107261551617,2281.415731919364,2271.124503740375,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,153.77394072046476,102.64196638603217,98.09453892346272,93.38315121680151,89.07179798083499,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,11.489146062335148,7.667124712305153,7.592806486466164,7.592806486466164,7.5620068803878056,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,3.1910816405657947,1.8282817246076934,1.8000271399728098,1.7913750620301638,1.7913750620301638,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,4.775329263722346,2.3951184393376543,2.300156465326207,2.2944142394022125,2.268494803532211,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,5.784819288751095,3.621846157074394,3.3991513427969164,3.3955149799678344,3.374040570328913,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7692303728281515,0.4921310021904154,0.47818190145772815,0.4760198002599517,0.4705247586514122,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,25.06908526604845,21.270660149782532,20.472345829330308,17.94897611825721,15.759256883345849,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.385763337228543,13.013323266988738,11.305282312722412,9.155460769704835,7.6580469291970275,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,128181.0,122390.0,120795.0,119231.0,138048.0
