,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_down < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.500122612850495,0.7338524453494123,0.3701197541460811,0.3694088579781497,0.36609307740493635,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135246.56443984888,124833.3636057445,121539.00586770999,121420.22122118017,120959.91691946244,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11102.788557868633,10372.620789902538,9901.451955824416,8785.350499027396,7902.244193554869,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,969.3182275653712,901.2496696060108,855.9514978246939,788.4993962596382,719.6080028496419,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1647.6971816317255,1525.1459009976866,1450.584585518656,1446.4712416917039,1441.7894933186933,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3638.5661669359915,2407.5462900131943,2326.153988475822,2320.850022392603,2310.2094397000556,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,155.0841612941906,101.41173362619323,97.07342360574575,91.80810624931655,88.0777079082461,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,10.294748381696339,6.994855521985034,6.948376985248405,6.948376985248405,6.917577379170047,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,2.953921106735963,1.6959400844049608,1.6783369754586448,1.6696848975159986,1.6696848975159986,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,4.6442636419701975,2.3499169391477874,2.262318196008627,2.2546314497115394,2.229454525893173,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,5.456263804730292,3.487585786967195,3.266071915609781,3.262268907818598,3.2393412747325883,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7532948563634475,0.4796088791402558,0.4657953485625631,0.46370024491454115,0.4581596847861136,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,24.941488083916987,21.29169905022405,20.46256610407708,17.96450176472642,15.760191331513202,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.429211278968378,13.028383844438292,11.357715036067656,9.25751717923275,7.7380979494783535,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,128181.0,122390.0,120795.0,119231.0,138048.0
