,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995
HHbbVV,1.676130328580837,1.676130328580837,1.671413160994866,1.6672065519826909,0.17139986301980356,0.1190936821083765,0.10610802945343732,0.1059801495732991,0.1054687241208782,,,
QCD,1117757.9198795073,1251971.716351885,1247569.2563443747,1244241.2895729458,160.29699427935537,16.218321634976864,15.52553180100313,15.52553180100313,15.52553180100313,,,
TT,114729.52068857195,114729.52068857195,114309.11741675786,113880.99428785002,39.443966694255955,7.114954372985179,7.064364907189215,6.189019636482383,5.991372588026645,,,
ST,9991.097357360093,9991.097357360093,9952.550898761065,9922.252662966415,4.497445204315414,1.0019694498900742,1.0019694498900742,1.0019694498900742,1.0019694498900742,,,
W+Jets,14710.822213085146,14710.822213085146,14670.207513918298,14635.076456643055,9.337933414261029,1.8755936688878438,1.8755936688878438,1.8755936688878438,1.8755936688878438,,,
Z+Jets,21597.004857058182,21597.004857058182,21520.342568735658,21471.347787777064,5.743731491090035,2.812288308208304,2.7458721974384,2.7458721974384,2.7458721974384,,,
Diboson,936.1606241609028,936.1606241609028,934.1584206040213,932.1822112933119,0.28001420954562,0.0,0.0,0.0,0.0,,,
ggFHbb,224.56874142701201,224.56874142701201,224.02968880433406,223.30598847245,0.036758875733498654,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,,,
VBFHbb,66.27722451912622,66.27722451912622,66.12891712313305,65.94436262293111,0.0007622901412900761,0.0,0.0,0.0,0.0,,,
ZHbb,63.465766584473805,63.465766584473805,63.32995290467089,63.23930009367292,0.01818714392975971,0.010534191053155503,0.00916234069267324,0.00916234069267324,0.00916234069267324,,,
WHbb,108.86564442012758,108.86564442012758,108.64337241312307,108.51513014986577,0.05566684018202385,0.03782851255045504,0.036068274868022755,0.036068274868022755,0.036068274868022755,,,
ggZHbb,9.5080271296301,9.5080271296301,9.480593256960656,9.454908466117434,0.0018188004879944924,0.001303331904699807,0.001303331904699807,0.001303331904699807,0.001303331904699807,,,
ttHbb,312.2634270090423,312.2634270090423,311.08860162114195,309.8926151597943,0.13610724774827015,0.057493190231144124,0.055080746449345484,0.049694398063038436,0.049694398063038436,,,
HWW,150.72907678953348,150.72907678953348,150.1141335814762,149.4108853239785,1.5519001168134383,0.4593093069244476,0.42437413388430256,0.420988386417953,0.4043403754758492,,,
Data,1414872.0,1414872.0,,,,76.0,74.0,72.0,70.0,1414872.0,1414872.0,359.0
