,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.671413160994866,1.6672065519826909,0.028864589275093507,0.01457177148815857,0.014520624669349483,0.014520624669349483,,
QCD,1117757.9198795073,1251971.716351885,1247569.2563443747,1244241.2895729458,17.945008817571654,0.9479854870513743,0.9479854870513743,0.9479854870513743,,
TT,114729.52068857195,114729.52068857195,114309.11741675786,113880.99428785002,5.798795801912014,0.6058845979325174,0.6058845979325174,0.6058845979325174,,
ST,9991.097357360093,9991.097357360093,9952.550898761065,9922.252662966415,1.3270895761658708,0.0,0.0,0.0,,
W+Jets,14710.822213085146,14710.822213085146,14670.207513918298,14635.076456643055,1.3240541277111542,0.09506311296715518,0.09506311296715518,0.09506311296715518,,
Z+Jets,21597.004857058182,21597.004857058182,21520.342568735658,21471.347787777064,0.8149782493388988,0.32772047717289904,0.32772047717289904,0.32772047717289904,,
Diboson,936.1606241609028,936.1606241609028,934.1584206040213,932.1822112933119,0.0,0.0,0.0,0.0,,
ggFHbb,224.56874142701201,224.56874142701201,224.02968880433406,223.30598847245,0.0,0.0,0.0,0.0,,
VBFHbb,66.27722451912622,66.27722451912622,66.12891712313305,65.94436262293111,0.0313406363497363,0.0,0.0,0.0,,
ZHbb,63.465766584473805,63.465766584473805,63.32995290467089,63.23930009367292,0.0013718503604822627,0.0013718503604822627,0.0013718503604822627,0.0013718503604822627,,
WHbb,108.86564442012758,108.86564442012758,108.64337241312307,108.51513014986577,0.0066932442039737625,0.0038431623322436274,0.0038431623322436274,0.0038431623322436274,,
ggZHbb,9.5080271296301,9.5080271296301,9.480593256960656,9.454908466117434,0.00024366724863733052,0.0,0.0,0.0,,
ttHbb,312.2634270090423,312.2634270090423,311.08860162114195,309.8926151597943,0.008785657593391342,0.0024124437817986334,0.0024124437817986334,0.0024124437817986334,,
HWW,150.72907678953348,150.72907678953348,150.1141335814762,149.4108853239785,0.2812771204808927,0.04679101711101491,0.04414270408692401,0.04239937920902053,,
Data,1414872.0,1414872.0,,,61.0,7.0,7.0,6.0,1414872.0,1414872.0
