,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore_JMR_up ≥ 0.99,bbFatJetParticleNetMD_Txbb ≥ 0.987,BDTScore ≥ 0.99
HHbbVV,3.0806144918749685,1.777757325359977,1.777757325359977,1.777757325359977,1.7726108484418197,1.7683849920081505,0.361037141653468,0.1703067487269796,
QCD,2297339.82909381,1194346.5658664904,972393.0218376687,972393.0218376687,969133.2699374782,966738.3173294645,788.5230229290197,48.625655402042334,
TT,139361.71036435151,90162.83808289378,90162.83808289378,90162.83808289378,89874.47242888014,89593.63713305627,187.35273119268066,14.362425786341062,
ST,9979.986132619777,6717.596659086394,6717.596659086394,6717.596659086394,6695.143184192203,6679.164687640505,19.14247341380138,2.0323962137767038,
V+Jets,63475.58227389368,38860.89721165447,38860.89721165447,38860.89721165447,38735.5607817707,38656.89023501311,88.01633193231724,17.32314411745215,
Diboson,946.7147595788099,595.6462086965947,595.6462086965947,595.6462086965947,593.2710364467257,592.303383327502,0.8486381118556263,0.4382183212668351,
Data,1108730.0,1108730.0,1108730.0,1108730.0,1108730.0,1108730.0,,155.0,1729.0
