,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JES_up ≥ 300,VVFatJetPt_JES_up ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.987,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300
HHbbVV,3.0806144918749685,1.777757325359977,1.777757325359977,1.777757325359977,1.777411199791604,1.7772031580052154,1.7772031580052154,0.9600045101791513,,
QCD,2297339.82909381,1194346.5658664904,972393.0218376687,972393.0218376687,972209.4596754363,972094.3821712572,972094.3821712572,892748.6515882049,,
TT,139361.71036435151,90162.83808289378,90162.83808289378,90162.83808289378,90134.0997981458,90114.97690156937,90114.97690156937,83668.99052530924,,
ST,9979.986132619777,6717.596659086394,6717.596659086394,6717.596659086394,6715.905155278651,6715.293880641339,6715.293880641339,6252.229828457851,,
V+Jets,63475.58227389368,38860.89721165447,38860.89721165447,38860.89721165447,38853.45903884859,38849.08022271799,38849.08022271799,31311.77236512968,,
Diboson,946.7147595788099,595.6462086965947,595.6462086965947,595.6462086965947,595.1852086012651,595.1852086012651,595.1852086012651,427.13804950371616,,
Data,1108730.0,1108730.0,1108730.0,1108730.0,,,1108730.0,1024006.0,1108730.0,1108730.0
