,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JER_up ≥ 300,VVFatJetPt_JER_up ≥ 300,BDTScore_JER_up ≥ 0.99,bbFatJetParticleNetMD_Txbb ≥ 0.987,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore ≥ 0.99
HHbbVV,3.0806144918749685,1.777757325359977,1.777757325359977,1.777757325359977,1.772248827616098,1.768541805457045,0.3723919077529982,0.17731764787517965,,,
QCD,2297339.82909381,1194346.5658664904,972393.0218376687,972393.0218376687,969089.9349097348,966810.203739948,752.3711402919241,39.38713847434973,,,
TT,139361.71036435151,90162.83808289378,90162.83808289378,90162.83808289378,89915.03598491562,89672.53560228413,181.31797209812066,13.810711589600537,,,
ST,9979.986132619777,6717.596659086394,6717.596659086394,6717.596659086394,6698.25249232512,6685.363062453858,18.492576932095908,1.8529509781034166,,,
V+Jets,63475.58227389368,38860.89721165447,38860.89721165447,38860.89721165447,38740.22114249918,38666.661585838374,86.95700738253642,17.899310037032176,,,
Diboson,946.7147595788099,595.6462086965947,595.6462086965947,595.6462086965947,593.2173265485819,592.0154046136107,0.7404602092212222,0.33004041863243094,,,
Data,1108730.0,1108730.0,1108730.0,1108730.0,,,,155.0,1108730.0,1108730.0,1729.0
