,BDTPreselection,TriggerEffs,QCD SF,BDTScore > 0.9602,bbFatJetParticleNetMD_Txbb > 0.98
HHbbVV,3.6071033477783203,1.570951227474099,1.570951227474099,0.5146676700586068,0.3126024152563928
QCD,1992124.7620618714,594270.1563745723,820048.0040633716,3069.7883287063646,518.4304547061729
TT,201941.48812963517,96942.9808948559,96942.9808948559,1569.804731496053,194.98265792997162
Data,922484.0,922484.0,922484.0,8653.0,1165.0
