,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,5.705208685061783,3.0656651663734404,1.7266159278678823,1.7253600564776403,1.7189427825018557
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,241832.5372790583,19351.703859936963,524.489883015279,524.489883015279,523.8721263160152
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,29148.018797011868,1872.4926671784553,82.1818577951247,75.1337793673827,73.10300702153675
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2525.17095330433,154.34434133054611,10.425628545471984,9.820460005447593,9.197420701666362
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,3210.33048161314,234.03868071051141,15.572739271223721,15.572739271223721,15.572739271223721
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,8600.407553734009,2986.634365996237,114.68596556436292,114.58482774737828,114.27785602998763
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,367.1477661446926,128.82935907624454,7.8607047168383435,7.631116289890052,7.12890721048592
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,27.910568447308826,10.338391260475923,0.30852768341341635,0.30852768341341635,0.30852768341341635
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,7.633141582288459,3.342472114856653,0.17276610809532167,0.17276610809532167,0.17276610809532167
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,11.958483818140257,5.754097279365595,0.1723110146444692,0.1723110146444692,0.1723110146444692
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,15.17038088489715,5.482521159461064,0.4453219456636268,0.4453219456636268,0.4433729609299167
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9683214626949659,0.6707777098431941,0.018785886421960524,0.018785886421960524,0.01849732879006031
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,66.66824587039527,9.28012828505732,0.40519653071656936,0.37217191350542084,0.3320130715368994
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,38.79480020735514,3.432025649633446,0.8303436970935147,0.8031664293953711,0.7819502362175444
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,289474.0,21780.0,1143.0,1132.0,1121.0
