,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_down < 170.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,5.733669257164415,3.0835282293300654,1.7380500908133698,1.7367942194231278,1.7303493389647424,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,241764.20748519964,19364.139457735477,529.2162236316542,529.2162236316542,528.5984669323905,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,29252.440445308814,1880.7107853566708,83.01384373114136,75.96576530339937,73.93499295755342,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2522.0748864400866,153.58707927208982,10.477927287365675,9.872758747341285,9.249719443560053,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,3196.6043900173954,234.04505181994404,15.227897710656906,15.227897710656906,15.227897710656906,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,8579.959879957678,2977.2081985872223,113.76235126705852,113.76235126705852,113.45537954966787,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,364.7322896174927,128.03248992301428,7.8607047168383435,7.631116289890052,7.12890721048592,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,27.728917518871544,10.237522893327322,0.30852768341341635,0.30852768341341635,0.30852768341341635,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,7.719223045375182,3.393424190534633,0.15966748392115598,0.15966748392115598,0.15966748392115598,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,11.942824552645469,5.738468170529073,0.1750035352790102,0.1750035352790102,0.1750035352790102,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,15.154224862478376,5.469545010465749,0.44956992930265427,0.44956992930265427,0.44762094456894413,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9691384953896893,0.6709512766310542,0.019120144281473503,0.019120144281473503,0.018831586649573285,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,66.76631042838261,9.305958428381174,0.410491461947044,0.3774549772865653,0.33729613531804387,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,38.86689124724289,3.4268097319803066,0.8296201652802617,0.8024428975821182,0.7812267044042915,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,21780.0,1143.0,1132.0,1121.0,289474.0
