,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,5.705208685061783,2.6395435186883422,1.2404452336188712,1.2391240217489958,1.229765923877717
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,241832.5372790583,222480.8334191213,215161.66844262392,214752.89316571204,213688.3398676153
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,29148.018797011868,27275.526129833415,25931.374584528967,23012.310993127096,20666.48210814445
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2525.17095330433,2370.826611973783,2229.237827642462,2023.752136207739,1829.719615279834
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,3210.33048161314,2976.291800902629,2771.4186111284484,2763.931941480414,2756.028885939327
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,8600.407553734009,5613.773187737772,5382.075167621945,5369.183550294023,5342.426208120055
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,367.1477661446926,238.31840706844804,220.98082691306192,210.55420246720945,199.64605326054476
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,27.910568447308826,17.572177186832903,16.907890894986497,16.8371342285729,16.73414876857054
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,7.633141582288459,4.290669467431808,4.135951664286141,4.113574476030225,4.065108980049124
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,11.958483818140257,6.2043865387746635,5.960064891799025,5.9484393189675915,5.893613355523739
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,15.17038088489715,9.687859725436088,8.985017900481228,8.96480723804524,8.886865739503609
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9683214626949659,1.2975437528517721,1.2591959565605677,1.2542187950194608,1.2442821776799686
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,66.66824587039527,57.38811758533796,54.82765932109755,48.1618161512074,42.0700970347102
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,38.79480020735514,35.36277455772169,30.445578458824336,24.800165747340415,20.4758122737612
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,289474.0,267694.0,254048.0,250108.0,246471.0
