,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48299599979646,40.42663543354845,40.42306662682575,33.09970443508192,11.672246244341316,5.444947225627758,5.433108730550745,5.409358196293036,,,
QCD,1126208.5372077702,1204990.9790546389,1091829.1940363718,1024773.1170107755,994157.197566238,241443.9195269155,222069.64196057158,214861.27214335458,214552.79993342026,213546.8396647093,,,
TT,126178.01663528233,126178.01663528233,115210.69518129839,105251.0227295055,103462.65944663838,28531.255757427673,26771.92549097582,25438.461130854266,21854.054050367373,19647.00291785233,,,
ST,11213.018738828068,11213.018738828068,10135.318099485703,9453.421697644919,9311.551870442012,2563.3037658488306,2406.6718699054904,2257.540453265789,2006.0810624205546,1818.4198347808642,,,
W+Jets,15930.077126498532,15930.077126498532,14787.420388844965,13942.346335360633,13662.906700192945,2204.0014813246808,2074.1488174941433,1899.8778537193054,1895.1273502259285,1887.2161335629721,,,
Z+Jets,22772.15825578505,22772.15825578505,20803.69477698711,19642.647887139225,19219.616607725595,3404.948281695476,2866.6656459582973,2737.309251102159,2730.6772781106547,2714.2382409731367,,,
Diboson,1008.6650414863541,1008.6650414863541,936.6974527373479,895.1833225237303,878.5967665689727,87.00521423873766,69.52094244126643,67.67156484673927,62.49016221662386,57.30161312647848,,,
ggFHbb,223.1087799478259,223.1087799478259,208.33854851724132,190.73841503521086,185.45647306628297,145.87419324689404,71.40396390909982,69.2876871991496,69.11193163768334,68.60656227186473,,,
VBFHbb,71.28205035333777,71.28205035333777,66.57144808367707,62.88355768217262,61.69945176446569,50.71623775286482,22.568825483509862,21.78478926898009,21.6822690154352,21.481402640198525,,,
ZHbb,67.12062616739404,67.12062616739404,62.157177486409175,59.70902915031397,58.36298844539078,39.982521162695015,18.758822884363056,17.71192417333298,17.672258586441913,17.51052142160447,,,
WHbb,116.35029311753367,116.35029311753367,107.53226818147353,104.06975297147089,101.7858474416917,78.09570136937842,38.09237736213514,35.15910029170864,35.07511561787445,34.836474572581324,,,
ggZHbb,10.311005316400477,10.311005316400477,9.445010817293094,8.875414890631745,8.725799047873851,4.888979896479286,2.64441692264527,2.53336898715902,2.524321200751869,2.503942049592532,,,
ttHbb,354.83801865944884,354.83801865944884,321.3325445904349,292.5093450828418,289.32433388844214,112.69148512649704,77.74042185265304,74.21544438495604,64.10370165108785,55.533514712169335,,,
HWW,172.07437391871366,172.07437391871366,156.38756218617007,139.4408970163354,137.79293317392592,35.643014366066986,33.62323924363892,29.607092919304385,23.70780260090517,19.62401985660817,,,
Data,1383108.0,1383108.0,,,,281048.0,260773.0,247451.0,242832.0,239356.0,1270702.0,1193818.0,1182302.0
