,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_up < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,33.29926834508977,11.745353414577252,5.475322667933861,5.463207323717074,5.439391903059472,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,242307.8711943947,222934.19667479375,215654.70858793776,215331.26545088264,214339.62715533064,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28077.305352880616,26337.67206343741,25022.2403515098,21473.073941171482,19311.19109162712,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2535.88760317894,2379.7075408161136,2235.3252643145884,1985.9560860968538,1799.7625442048386,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2209.4968742874294,2077.8064247466427,1904.3651706110395,1899.658104769009,1892.0967741208651,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3479.002048145192,2902.662939983476,2771.0355528079995,2763.7594941375723,2747.026011364419,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,88.56353568050203,69.9466878566414,68.14909287739046,62.96769024727505,57.088116732307014,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,145.98181984940078,71.1809029422937,69.00594385165383,68.83018829018756,68.32481892436894,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,50.615713475690654,22.46809767439334,21.676126781183534,21.567987315163588,21.36712093992691,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,40.039448669725374,18.802318366472754,17.74916298354422,17.70949739665315,17.549913342807592,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,78.0480700301446,38.043947734317534,35.098603843273395,35.014619169439214,34.77780470104425,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.859321809073485,2.618329550217398,2.5074558463679875,2.498741541650907,2.4793399863345824,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,111.37787322551637,76.64697815300178,73.15443610684528,63.10308956761101,54.66164255019865,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,35.247865112287464,33.21957190044127,29.246316069882226,23.413342210769052,19.39131297533452,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,260773.0,247451.0,242832.0,239356.0,281048.0
