,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_down < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,33.06949017268022,11.661421575284537,5.440024202759884,5.42803822944026,5.4042228087826585,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,241406.69450730772,222012.77707816492,214818.4379631598,214510.03143242566,213509.88379924884,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28636.608757790462,26872.323930399387,25536.105438774575,21935.582401637163,19714.87665214296,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2573.4296637691564,2415.8467011765965,2266.450895745877,2013.3618306736453,1823.8012353247661,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2203.6644429755866,2074.1197163823913,1899.6244512221783,1894.8739477288013,1886.8979737092232,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3397.100102832462,2863.1472266150276,2734.2235016673544,2727.4908509048405,2711.2043728751933,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,86.56124946820246,69.39229118249955,67.54291358797238,62.36151095785698,57.17296186771161,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,146.11597719939584,71.46681754039903,69.33913261681406,69.1633770553478,68.65800768952917,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,50.63870346817106,22.530888573559277,21.738917680349466,21.630778214329524,21.429911839092846,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,40.01440048234601,18.787045952335944,17.739247556031113,17.701957025139723,17.540700361582637,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,78.18135078938187,38.12303960775808,35.18580743877935,35.10182276494517,34.86341679167693,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.890829078692919,2.646229372960015,2.5349150588281253,2.525867272420974,2.5055962645675858,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,112.94535997163942,77.97464771910481,74.43820271282931,64.30945240505973,55.70577899245376,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,35.78073916922266,33.76063359525355,29.733937180418813,23.81548265873729,19.6771925695095,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,260773.0,247451.0,242832.0,239356.0,281048.0
