,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.473150080174825,40.408783740514195,40.40348122707436,33.08719261519205,21.423776350391243,12.049559727900126,12.040514328378052,12.010833442366142,,,
QCD,1126208.5372077702,1204990.9790546389,1082791.3045432647,1010534.5328699123,975982.5535852,237085.503871196,19027.5994728238,645.8520748844638,645.8520748844638,636.2869699641486,,,
TT,126178.01663528233,126178.01663528233,114490.2353863148,103920.30786860189,101851.71702963293,27935.684704220213,1727.8697663326884,73.0152295301452,67.35934438165228,64.33993387484696,,,
ST,11213.018738828068,11213.018738828068,10063.814690293584,9333.881158662574,9169.602529867114,2515.9166015358896,154.73183796338517,9.86555804351305,9.195938752706413,8.590848687809524,,,
W+Jets,15930.077126498532,15930.077126498532,14691.806727684198,13777.267658173338,13457.90702673858,2167.815427892599,127.69491081268977,13.830815056161576,13.654692844838973,13.480453642550275,,,
Z+Jets,22772.15825578505,22772.15825578505,20633.98475649249,19387.760471367154,18906.89524950993,3344.2920236557056,529.8210575561102,21.525508052363946,21.525508052363946,21.525508052363946,,,
Diboson,1008.6650414863541,1008.6650414863541,928.2792348935631,882.3386302772958,863.6551975055806,85.08471220263499,17.141232220214775,0.3455932721345744,0.3455932721345744,0.3455932721345744,,,
ggFHbb,223.1087799478259,223.1087799478259,206.96121335168272,188.11216062010658,182.14359517046486,143.21364569396417,73.17283463196821,2.165386535216423,2.165386535216423,2.1306916542730634,,,
VBFHbb,71.28205035333777,71.28205035333777,66.22831484205756,62.021356057605445,60.603962583813285,49.870527385443026,27.768925278951706,1.0144659595314112,1.0144659595314112,1.0144659595314112,,,
ZHbb,67.12062616739404,67.12062616739404,61.675631496288744,59.011833939231224,57.48892061830066,39.415699695290485,20.932806299104094,1.304858579884686,1.304858579884686,1.2992856920157854,,,
WHbb,116.35029311753367,116.35029311753367,106.66396487768547,102.92776097108307,100.33370527348852,77.02366487378937,39.530466687171455,3.4092648726266215,3.40454581462247,3.397448319707509,,,
ggZHbb,10.311005316400477,10.311005316400477,9.381778754562763,8.77298922770347,8.603830059714706,4.813114893419394,2.2107639378039847,0.10936155004069621,0.10936155004069621,0.10936155004069621,,,
ttHbb,354.83801865944884,354.83801865944884,319.26690607262464,288.7889140300193,285.10020418113174,110.62431232694098,34.41607980712976,1.547594481211204,1.392674265994183,1.2383020122021542,,,
HWW,172.07437391871366,172.07437391871366,155.5646345789582,137.67677353842413,135.75568599415618,34.933875549145185,1.979921975292025,0.30701707334658307,0.2687791522539407,0.20803872912904617,,,
Data,1383108.0,1383108.0,,,,281048.0,20275.0,1105.0,1091.0,1078.0,1270702.0,1193818.0,1182302.0
