,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.473150080174825,40.408783740514195,40.40348122707436,5.700802978262671,2.6359706641418974,1.2375345763332715,1.236213364463396,1.226855266592117,,,
QCD,1126208.5372077702,1204990.9790546389,1082791.3045432647,1010534.5328699123,975982.5535852,237359.75009460168,218344.07359636453,211112.01074509253,210713.81618947568,209668.44401409558,,,
TT,126178.01663528233,126178.01663528233,114490.2353863148,103920.30786860189,101851.71702963293,28638.979945376843,26797.421320452442,25474.73871182477,22611.29162011721,20324.3553774669,,,
ST,11213.018738828068,11213.018738828068,10063.814690293584,9333.881158662574,9169.602529867114,2477.1259730044885,2326.1992864595322,2186.793593507401,1986.2525073774095,1797.299571418038,,,
W+Jets,15930.077126498532,15930.077126498532,14691.806727684198,13777.267658173338,13457.90702673858,3154.2050013482667,2922.789219572147,2721.0376243985893,2713.899303588465,2706.2559195371687,,,
Z+Jets,22772.15825578505,22772.15825578505,20633.98475649249,19387.760471367154,18906.89524950993,8454.492890994201,5515.398788946605,5288.173878707208,5275.564215683931,5249.888188164126,,,
Diboson,1008.6650414863541,1008.6650414863541,928.2792348935631,882.3386302772958,863.6551975055806,361.20503630092946,233.69567626269975,216.85614664824004,206.52627849861304,195.68498374535505,,,
ggFHbb,223.1087799478259,223.1087799478259,206.96121335168272,188.11216062010658,182.14359517046486,27.471793065303437,17.306432739911504,16.6421464480651,16.579427616060237,16.476442156057878,,,
VBFHbb,71.28205035333777,71.28205035333777,66.22831484205756,62.021356057605445,60.603962583813285,7.512076339762313,4.191956644792526,4.03723884164686,4.014861653390943,3.966396157409842,,,
ZHbb,67.12062616739404,67.12062616739404,61.675631496288744,59.011833939231224,57.48892061830066,11.731477493026775,6.075627417363774,5.835710222433926,5.824084649602492,5.76925868615864,,,
WHbb,116.35029311753367,116.35029311753367,106.66396487768547,102.92776097108307,100.33370527348852,14.893845230917718,9.494825763190779,8.803408571786706,8.784527100009635,8.708364764373552,,,
ggZHbb,10.311005316400477,10.311005316400477,9.381778754562763,8.77298922770347,8.603830059714706,1.935145012114947,1.277006696703039,1.2390883396628651,1.2341111781217584,1.224520030005007,,,
ttHbb,354.83801865944884,354.83801865944884,319.26690607262464,288.7889140300193,285.10020418113174,65.54419877285164,56.4077463083441,53.88201339679449,47.334944016894035,41.37492993084776,,,
HWW,172.07437391871366,172.07437391871366,155.5646345789582,137.67677353842413,135.75568599415618,38.09241028182697,34.71286368526792,29.868213715723787,24.33024327698902,20.125336995835305,,,
Data,1383108.0,1383108.0,,,,289474.0,267694.0,254048.0,250108.0,246471.0,1270702.0,1193818.0,1182302.0
