,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_down < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,5.295382207164443,2.4896857276336557,1.1707988805215521,1.1695138649552699,1.160986940767169,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,243198.4083444728,223656.0507681346,216357.3140897429,215955.7823731218,214897.84593577412,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28847.216667162942,27008.27204330249,25681.345314491355,22769.239596161242,20461.06061429064,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2504.7094681243843,2353.268204171939,2206.9467447657717,2001.2299023658547,1806.0438092191769,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,3169.234210778623,2937.306493652115,2735.3775905255425,2727.086298507524,2718.1886379467314,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,8807.476667555795,5735.931120376055,5502.340539975548,5489.2620254602725,5460.886784723964,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,376.7209242329417,239.23783245519647,221.99064243864387,210.41307496820457,200.6125049063608,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,25.20112617249697,16.331281997275592,15.730356752255206,15.667637920250344,15.589119961254454,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,7.195045672829229,4.065554902388579,3.893200179264573,3.870822991008657,3.822357495027556,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,11.688017754103038,6.030323575208192,5.800061824715824,5.7843065431847105,5.720775851276295,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,14.102653483519193,9.171352163357039,8.517337097738183,8.495821954163736,8.421011086991724,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9279999700117507,1.2793883581583971,1.2415955886333792,1.2364226557111497,1.2254307273547105,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,65.60137082490868,56.769912969126686,54.234413164066325,47.62529422082478,41.68912415679934,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,38.344697863210826,34.9220438678796,30.02597067192123,24.491134448768776,20.234107927620194,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,267694.0,254048.0,250108.0,246471.0,289474.0
