,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48831200738251,40.438563175635224,40.43559010300879,5.70795836407197,2.641140826878029,1.2418788694984007,1.2405407756925717,1.2309970548846938,,,
QCD,1126208.5372077702,1204990.9790546389,1099336.1147222044,1036844.0848393111,1008111.0560891891,245048.51749482384,225454.2468903356,218052.0629401324,217619.71639028963,216542.5633606642,,,
TT,126178.01663528233,126178.01663528233,115918.45927403905,106593.53805175246,104938.62170419967,29558.29062343011,27661.799445034267,26300.850029953843,23333.700588014464,20935.583294345466,,,
ST,11213.018738828068,11213.018738828068,10208.273559011384,9571.038859557377,9438.285937159068,2561.0860365121994,2405.318307532753,2262.274808601918,2053.2532723539734,1855.7697632056056,,,
W+Jets,15930.077126498532,15930.077126498532,14867.542368205846,14082.691219129416,13826.530236295748,3252.0958553767177,3014.6622285010126,2808.437278492019,2800.7314847512284,2792.8284292101416,,,
Z+Jets,22772.15825578505,22772.15825578505,20954.152074153593,19867.796934357008,19475.503492886084,8708.3747990281,5685.830955518016,5451.653862703224,5438.38255080086,5411.153530710845,,,
Diboson,1008.6650414863541,1008.6650414863541,943.5555847122603,905.2491609263145,889.0362095561452,371.3596780063221,240.3770765191413,223.03949636375515,212.5340674525596,201.6259182458949,,,
ggFHbb,223.1087799478259,223.1087799478259,209.41596660422243,192.75749921763912,187.99129530075237,28.241745815215097,17.828241461977722,17.16080404134283,17.090047374929227,16.98706191492687,,,
VBFHbb,71.28205035333777,71.28205035333777,66.95858134529635,63.678860780527096,62.576322776582195,7.739074593620808,4.335268880033723,4.180551076888058,4.158173888632142,4.109708392651041,,,
ZHbb,67.12062616739404,67.12062616739404,62.544269533191866,60.27744918189762,59.032303185138204,12.13337911264502,6.314570014039541,6.066491547581806,6.054865974750372,6.00004001130652,,,
WHbb,116.35029311753367,116.35029311753367,108.22893312289973,105.02386126671988,102.93753696062797,15.338172373365206,9.801632859421412,9.097031867095545,9.07492073925675,8.994002789015596,,,
ggZHbb,10.311005316400477,10.311005316400477,9.502007335463656,8.972774631007276,8.830439394470925,1.9952150719758348,1.3122937182344736,1.2736786373556455,1.2687014758145385,1.2585935238522588,,,
ttHbb,354.83801865944884,354.83801865944884,323.2086442340728,296.1427331988309,293.19279355263234,67.64515193466748,58.24298770335801,55.65740289328236,48.890524372113624,42.68832813838192,,,
HWW,172.07437391871366,172.07437391871366,157.34052193301875,141.3674167442639,139.8360171025445,39.287101631607925,35.82003543285655,30.86590989126894,25.173497933861384,20.77061597568148,,,
Data,1383108.0,1383108.0,,,,289474.0,267694.0,254048.0,250108.0,246471.0,1270702.0,1193818.0,1182302.0
