,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_down < 150.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,33.06949017268022,21.408068597395683,12.037466620487608,12.028421220965539,11.998618752439606,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,241406.69450730772,19393.917429142817,655.0103548252623,655.0103548252623,645.445249904947,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28636.608757790462,1764.284827391073,73.29522110877039,67.63933596027746,64.61992545347215,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2573.4296637691564,157.5829625925593,9.886693103457425,9.217073812650789,8.6119837477539,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2203.6644429755866,129.5447265931955,14.416198893535176,14.240076682212575,14.065837479923875,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3397.100102832462,533.9528762174341,21.8486335416915,21.8486335416915,21.8486335416915,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,86.56124946820246,17.16895828570291,0.3455932721345744,0.3455932721345744,0.3455932721345744,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,146.11597719939584,74.64915965899681,2.1789149408616555,2.1789149408616555,2.1442200599182955,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,50.63870346817106,28.10781489461178,1.0144659595314112,1.0144659595314112,1.0144659595314112,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,40.01440048234601,21.227354530010068,1.3140343815355335,1.3140343815355335,1.3084614936666328,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,78.18135078938187,40.05831118162378,3.4406826057699744,3.4359635477658235,3.428866052850863,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.890829078692919,2.244599705732904,0.10995523463359227,0.10995523463359227,0.10995523463359227,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,112.94535997163942,34.97071225253462,1.5676082175826345,1.4089455247384772,1.2540115271704955,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,35.78073916922266,2.0201055739691145,0.31109125270236376,0.27285333160972153,0.2121129084848269,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,20275.0,1105.0,1091.0,1078.0,281048.0
