,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_up < 170.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,7.9861836298603475,4.581989302535996,2.5753327607766088,2.573376469694126,2.5658917094102134,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,239142.1443862882,18865.049397659473,528.7116623534699,528.7116623534699,528.0939056542061,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,29433.977681086835,1950.924188870812,88.73278776484673,81.90212544308969,79.95675453610312,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2549.2373843623222,162.1833248400288,10.979577526515357,10.373607012761433,10.046671271119887,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,3384.992172899456,250.725268132898,16.615719439675235,16.615719439675235,16.615719439675235,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,7814.232595196543,2636.0345235352283,101.79505680515817,101.69391898817352,101.69391898817352,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,332.41126224835796,110.84089811798394,6.210074387879358,5.980485960931068,5.478276881526934,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,38.36292320303255,16.241107993168896,0.47834729961212136,0.47834729961212136,0.47834729961212136,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,11.722742750354957,5.343670968786526,0.20425204810419675,0.20425204810419675,0.20425204810419675,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,14.020456396448374,6.869234529242215,0.29929579510008963,0.29929579510008963,0.29929579510008963,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,20.595021908015028,8.566853945471792,0.7029958438290802,0.7029958438290802,0.7010468590953702,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,2.1665970559048198,0.780323841670278,0.027490386208541287,0.027490386208541287,0.027201828576641073,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,70.21295561675805,11.37198194180563,0.5523412062175252,0.5011355731109873,0.4470834508057542,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,38.75244907790056,3.353615318023287,0.8129118286349272,0.7834891013292851,0.7632148059878289,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,21780.0,1143.0,1132.0,1121.0,289474.0
