,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,33.10016669627293,11.672298671610598,5.445045394879784,5.433206899802771,5.409391479145169
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,241514.4876945794,222135.61830815492,214926.35676270968,214614.36790920465,213611.15284940117
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28575.559108670677,26814.394382097697,25478.565132077696,21883.680131721692,19671.078047203795
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2566.4148201454473,2409.6680055004476,2260.5432757906606,2007.8817619629062,1819.170429245411
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2206.286029485754,2076.493955383891,1902.2229916090528,1897.472488115676,1889.496514096098
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3407.3460544158193,2867.885884043788,2738.6167975271655,2731.8841467646507,2715.494061091146
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,86.85582321177742,69.42360101883438,67.5742234243072,62.3928207941918,57.20427170404643
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,145.99116392486633,71.4185325361,69.29084761251502,69.11509205104875,68.60972268523014
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,50.73788355543195,22.56601796096802,21.77404706775821,21.66590760173826,21.46504122650159
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,40.009530405224,18.782205044368997,17.734406648064162,17.69474106117309,17.533484397615997
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,78.16308874246963,38.11725766503986,35.18391766699458,35.0999329931604,34.86152701989217
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.89054956840928,2.6445461019240604,2.5332288069358637,2.5241810205287125,2.503910012675324
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,112.77654466529124,77.81184311943383,74.2863819540328,64.16023135615468,55.58239687128839
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,35.70725043383729,33.68722242586709,29.678225608379705,23.759461034213835,19.653721638911954
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,281048.0,260773.0,247451.0,242832.0,239356.0
