,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_down < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,33.56141170950623,11.844893295825464,5.52231090946554,5.510298780988668,5.486233986405406,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,241237.3388091292,221979.29454430038,214829.70073387696,214513.89613342108,213552.61317397916,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28483.40736442792,26726.341231076964,25390.75084102311,21793.6429973796,19578.599551807867,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2569.855292958915,2412.318828950613,2263.794628338762,2011.4689348411046,1822.5045568818714,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2198.12905051932,2067.9375137357165,1893.4414859033632,1889.157650239927,1881.82662760535,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3338.6503813438117,2825.533384963519,2697.046549437267,2690.191030359829,2674.6880450074214,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,87.0921852033706,70.48518415326032,69.11962601530777,64.09196783984567,58.90341874970028,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,148.97471063835184,72.87737731315325,70.68633134274222,70.50253794686724,69.97270108004216,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,51.35955714434931,22.88883203002317,22.0878128287421,21.979673362722156,21.778806987485478,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,40.50480858644603,19.03127760184971,17.979133495177994,17.94184296428661,17.787011022758307,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,79.33260800327567,38.69471637424748,35.70016202257061,35.61748182987489,35.376470472927835,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.957999661829448,2.679049320781423,2.5684938830811603,2.5593282507861383,2.538584319373947,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,113.52460004471097,78.16319298439417,74.61918547516379,64.38741793741427,55.68450061997937,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,35.65516752896718,33.64679273028546,29.69626787091854,23.731884317068314,19.671467771521044,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,260773.0,247451.0,242832.0,239356.0,281048.0
