,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48831200738251,40.438563175635224,40.43559010300879,33.10888512971831,21.43075179489649,12.050556125319623,12.04151072579755,12.01182983978564,,,
QCD,1126208.5372077702,1204990.9790546389,1099336.1147222044,1036844.0848393111,1008111.0560891891,244829.3623803425,19654.955466915002,656.3591778458273,656.3591778458273,646.7940729255121,,,
TT,126178.01663528233,126178.01663528233,115918.45927403905,106593.53805175246,104938.62170419967,29078.246999033316,1787.473259655873,74.76430317750243,68.74412039451084,65.72470988770553,,,
ST,11213.018738828068,11213.018738828068,10208.273559011384,9571.038859557377,9438.285937159068,2604.731235751569,158.30758624646614,9.886693103457425,9.217073812650789,8.6119837477539,,,
W+Jets,15930.077126498532,15930.077126498532,14867.542368205846,14082.691219129416,13826.530236295748,2230.1661588899433,131.50713722983676,14.277293848995287,14.101171637672682,13.926932435383984,,,
Z+Jets,22772.15825578505,22772.15825578505,20954.152074153593,19867.796934357008,19475.503492886084,3454.645742102165,546.3438158671167,22.112578587531463,22.112578587531463,22.112578587531463,,,
Diboson,1008.6650414863541,1008.6650414863541,943.5555847122603,905.2491609263145,889.0362095561452,87.90715783780308,17.562640265849364,0.3455932721345744,0.3455932721345744,0.3455932721345744,,,
ggFHbb,223.1087799478259,223.1087799478259,209.41596660422243,192.75749921763912,187.99129530075237,147.91562471559115,75.69757501007751,2.1883655512674696,2.1883655512674696,2.153670670324109,,,
VBFHbb,71.28205035333777,71.28205035333777,66.95858134529635,63.678860780527096,62.576322776582195,51.44648668401031,28.535889107639704,1.0230097963425013,1.0230097963425013,1.0230097963425013,,,
ZHbb,67.12062616739404,67.12062616739404,62.544269533191866,60.27744918189762,59.032303185138204,40.41211671880253,21.43867578495814,1.3249433506620962,1.3249433506620962,1.3193704627931955,,,
WHbb,116.35029311753367,116.35029311753367,108.22893312289973,105.02386126671988,102.93753696062797,79.00216009178456,40.406115440901274,3.460001370560482,3.4552823125563314,3.447867802782044,,,
ggZHbb,10.311005316400477,10.311005316400477,9.502007335463656,8.972774631007276,8.830439394470925,4.954662401579987,2.2720604088620973,0.11156158351260223,0.11156158351260223,0.11156158351260223,,,
ttHbb,354.83801865944884,354.83801865944884,323.2086442340728,296.1427331988309,293.19279355263234,114.54668267494904,35.421338979727665,1.5853528626637203,1.4264074285888069,1.268307793549177,,,
HWW,172.07437391871366,172.07437391871366,157.34052193301875,141.3674167442639,139.8360171025445,36.460309898808184,2.0616734561821914,0.31954994732114644,0.2806632873752108,0.21571480521251007,,,
Data,1383108.0,1383108.0,,,,281048.0,20275.0,1105.0,1091.0,1078.0,1270702.0,1193818.0,1182302.0
