,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48299599979646,40.42663543354845,40.42306662682575,33.09970443508192,21.427458190740605,12.050123524696762,12.04107812517469,12.011397239162779,,,
QCD,1126208.5372077702,1204990.9790546389,1091829.1940363718,1024773.1170107755,994157.197566238,241443.9195269155,19374.277566343924,655.5833450778675,655.5833450778675,646.0182401575523,,,
TT,126178.01663528233,126178.01663528233,115210.69518129839,105251.0227295055,103462.65944663838,28531.255757427673,1759.3302664518405,73.52606556061022,67.87018041211729,64.85076990531196,,,
ST,11213.018738828068,11213.018738828068,10135.318099485703,9453.421697644919,9311.551870442012,2563.3037658488306,156.6318959433402,9.86555804351305,9.195938752706413,8.590848687809524,,,
W+Jets,15930.077126498532,15930.077126498532,14787.420388844965,13942.346335360633,13662.906700192945,2204.0014813246808,129.85266383053693,14.071357332968361,13.895235121645758,13.72099591935706,,,
Z+Jets,22772.15825578505,22772.15825578505,20803.69477698711,19642.647887139225,19219.616607725595,3404.948281695476,538.282635737178,21.82005532783733,21.82005532783733,21.82005532783733,,,
Diboson,1008.6650414863541,1008.6650414863541,936.6974527373479,895.1833225237303,878.5967665689727,87.00521423873766,17.48427179747123,0.3455932721345744,0.3455932721345744,0.3455932721345744,,,
ggFHbb,223.1087799478259,223.1087799478259,208.33854851724132,190.73841503521086,185.45647306628297,145.87419324689404,74.47022933779421,2.1789149408616555,2.1789149408616555,2.1442200599182955,,,
VBFHbb,71.28205035333777,71.28205035333777,66.57144808367707,62.88355768217262,61.69945176446569,50.71623775286482,28.14741226935496,1.0144659595314112,1.0144659595314112,1.0144659595314112,,,
ZHbb,67.12062616739404,67.12062616739404,62.157177486409175,59.70902915031397,58.36298844539078,39.982521162695015,21.223698278331963,1.3167269021700745,1.3167269021700745,1.311154014301174,,,
WHbb,116.35029311753367,116.35029311753367,107.53226818147353,104.06975297147089,101.7858474416917,78.09570136937842,40.00332400724328,3.441658737468506,3.4369396794643547,3.4298421845493943,,,
ggZHbb,10.311005316400477,10.311005316400477,9.445010817293094,8.875414890631745,8.725799047873851,4.888979896479286,2.2445629738340154,0.1102559792554787,0.1102559792554787,0.1102559792554787,,,
ttHbb,354.83801865944884,354.83801865944884,321.3325445904349,292.5093450828418,289.32433388844214,112.69148512649704,34.95106327384401,1.5716847676960644,1.4151109513142526,1.2601769537462713,,,
HWW,172.07437391871366,172.07437391871366,156.38756218617007,139.4408970163354,137.79293317392592,35.643014366066986,2.0197751224280616,0.31289021057868605,0.27465228948604375,0.21391186636114917,,,
Data,1383108.0,1383108.0,,,,281048.0,20275.0,1105.0,1091.0,1078.0,1270702.0,1193818.0,1182302.0
