,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,33.10016669627293,21.42786802466233,12.050265999324187,12.041220599802115,12.011539713790205
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,241514.4876945794,19378.869386424492,655.5833450778675,655.5833450778675,646.0182401575523
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28575.559108670677,1761.164726572977,73.6032065091936,67.94732136070067,64.92791085389536
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2566.4148201454473,156.7468146449993,9.886693103457425,9.217073812650789,8.6119837477539
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2206.286029485754,129.79207410186362,14.071357332968361,13.895235121645758,13.72099591935706
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3407.3460544158193,539.4601703720318,21.8486335416915,21.8486335416915,21.8486335416915
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,86.85582321177742,17.43222219294304,0.3455932721345744,0.3455932721345744,0.3455932721345744
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,145.99116392486633,74.5726313887663,2.1789149408616555,2.1789149408616555,2.1442200599182955
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,50.73788355543195,28.171865594463924,1.0144659595314112,1.0144659595314112,1.0144659595314112
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,40.009530405224,21.227325360855,1.3167269021700745,1.3167269021700745,1.311154014301174
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,78.16308874246963,40.04583107742977,3.4449305894090023,3.4402115314048505,3.433114036489891
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.89054956840928,2.2460034664852198,0.11028949249310527,0.11028949249310527,0.11028949249310527
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,112.77654466529124,34.96470154585742,1.5689095056805318,1.41233568929872,1.2574016917307382
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,35.70725043383729,2.020028007970202,0.31289021057868605,0.27465228948604375,0.21391186636114917
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,281048.0,20275.0,1105.0,1091.0,1078.0
