,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_up < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,30.492864028845275,10.767880126888521,5.028688939217622,5.018182304582773,4.995280823984935,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,239887.67796729677,220315.16357683894,213214.25415827002,212889.7140586213,211867.6210221874,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,29151.218367869835,27342.453143360442,25982.19494058781,22432.357377669057,20155.832160974223,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2588.2098128109933,2430.3557367674844,2282.482388992907,2032.2999065497308,1844.1376385448905,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2221.842866838555,2090.6781217620974,1919.063979972028,1914.4923798244033,1906.9684801560177,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3734.55718436001,3046.7204461350657,2913.156018240833,2905.0587390378014,2887.4815746134623,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,109.65821105177957,82.33051029866672,76.7358164865835,72.24620455534176,66.40800161029821,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,133.393167823218,65.32197949485007,63.27714996172753,63.10139440026127,62.74925214873275,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,46.26137964776919,20.430884921691884,19.645450303746987,19.56310338931878,19.370376449256344,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,37.21955719499633,17.569197213135656,16.570419482974792,16.52674947737949,16.369237869393665,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,72.02750822891619,35.40930483560416,32.66782540695668,32.58816200193278,32.375125617079,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.58883116740121,2.496700990532139,2.389439837593843,2.3816278838466163,2.363077845125151,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,109.53294964427364,76.75428088872943,73.29085684139017,63.386434330043315,54.90566276474743,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,36.34067799522692,34.25815326016306,30.250806043576812,24.383064059469945,20.17284636263448,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,260773.0,247451.0,242832.0,239356.0,281048.0
