,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48122773026381,40.425136401099984,40.42177334133724,5.705074322474586,3.065827824073573,1.7266159278678823,1.7253600564776403,1.7189427825018557,,,
QCD,1126208.5372077702,1204990.9790546389,1091686.2767067247,1023988.7977089484,994468.4629464046,241787.66794069944,19328.161725384365,524.489883015279,524.489883015279,523.8721263160152,,,
TT,126178.01663528233,126178.01663528233,115273.36186126171,105326.70861191051,103602.56899115718,29155.156297930866,1871.189170307459,81.95220287535719,75.05550046362512,73.02472811777918,,,
ST,11213.018738828068,11213.018738828068,10142.455724780455,9458.133006199738,9322.638614477924,2526.593164865212,154.30877357198762,10.425628545471984,9.820460005447593,9.197420701666362,,,
W+Jets,15930.077126498532,15930.077126498532,14783.19186296935,13931.043934545101,13664.959972341398,3210.6219546875864,234.0820505926254,15.425088847809125,15.425088847809125,15.425088847809125,,,
Z+Jets,22772.15825578505,22772.15825578505,20802.972335464023,19632.050664188246,19227.04958843867,8600.147950933964,2986.2009572686507,114.80364041826786,114.70250260128323,114.39553088389258,,,
Diboson,1008.6650414863541,1008.6650414863541,936.4402865398723,893.2616454536287,876.8503007563286,366.91741786726857,128.70117215023186,7.8607047168383435,7.631116289890052,7.12890721048592,,,
ggFHbb,223.1087799478259,223.1087799478259,208.30195403751515,190.49653420734825,185.54171233559265,27.854802536436765,10.28941506603563,0.30852768341341635,0.30852768341341635,0.30852768341341635,,,
VBFHbb,71.28205035333777,71.28205035333777,66.61287465011183,62.84198870650114,61.685130797987306,7.633141582288459,3.342472114856653,0.17276610809532167,0.17276610809532167,0.17276610809532167,,,
ZHbb,67.12062616739404,67.12062616739404,62.11539479001107,59.65733937566006,58.377605837385396,11.951001485347788,5.749947030028252,0.1723110146444692,0.1723110146444692,0.1723110146444692,,,
WHbb,116.35029311753367,116.35029311753367,107.49712890863049,103.98776396880199,101.82282820093816,15.1530160484222,5.473494862743216,0.4453219456636268,0.4453219456636268,0.4433729609299167,,,
ggZHbb,10.311005316400477,10.311005316400477,9.447615984178295,8.874781762097546,8.729540016747084,1.9679903543750725,0.6702292018859471,0.018785886421960524,0.018785886421960524,0.01849732879006031,,,
ttHbb,354.83801865944884,354.83801865944884,321.3836060749171,292.643026654335,289.53986342140485,66.66920684179705,9.267128720894867,0.4047234569916952,0.37150256896350903,0.3320130715368994,,,
HWW,172.07437391871366,172.07437391871366,156.48847906642104,139.66369434781421,138.04955422749703,38.8108436612318,3.4344755861314553,0.8303910027215746,0.803213735023431,0.7819975418456044,,,
Data,1383108.0,1383108.0,,,,289474.0,21780.0,1143.0,1132.0,1121.0,1270702.0,1193818.0,1182302.0
