,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_up < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,7.9861836298603475,3.4041943273243507,1.591733531496446,1.5892270605518806,1.5794096215659612,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,239142.1443862882,220277.09498862867,213096.63165998002,212732.6789864911,211687.7524896552,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,29433.977681086835,27483.05349221603,26125.660440698488,23228.668733305512,20847.739923486133,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2549.2373843623222,2387.054059522293,2245.0432112641506,2033.967582382149,1838.5396903874205,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,3384.992172899456,3134.2669047665586,2918.9811030469637,2911.3884336003084,2902.5876288985237,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,7814.232595196543,5178.198071661315,4959.0217746222,4947.719996472151,4923.307149141672,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,332.41126224835796,221.570364130374,207.90180692245605,199.10713048970044,190.18251075033538,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,38.36292320303255,22.121815209863662,21.48804661085952,21.417289944445923,21.161077370153482,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,11.722742750354957,6.379071781568431,6.252101546369804,6.20393180652215,6.14732687536681,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,14.020456396448374,7.151221867206159,6.861193621354571,6.853572467227372,6.798134227910095,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,20.595021908015028,12.028167962543236,11.179390278901867,11.154908764348185,11.054927920662829,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,2.1665970559048198,1.3862732142345415,1.344395271481244,1.3385720377634043,1.3264770714862726,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,70.21295561675805,58.84097367495242,56.23795266002609,49.43527922683357,43.118625057258186,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,38.75244907790056,35.39883375987728,30.404132650530933,24.80371890802154,20.36886399586511,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,267694.0,254048.0,250108.0,246471.0,289474.0
