,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_down < 170.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,5.295382207164443,2.8056964795307877,1.5801943388596449,1.5788128169286204,1.5725567440846877,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,243198.4083444728,19542.357576338167,574.9527001573879,574.9527001573879,569.2012525701227,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28847.216667162942,1838.9446238604453,83.45405746538721,76.60745091057981,74.6635188758,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2504.7094681243843,151.44126395244515,11.685521761304706,11.080353221280316,10.457313917499086,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,3169.234210778623,231.92771712650762,14.718174081449922,14.718174081449922,14.718174081449922,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,8807.476667555795,3071.5455471797413,118.14822495186311,118.04708713487847,117.66757297222222,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,376.7209242329417,137.48309177774524,9.108770150033166,8.879181723084873,8.376972643680741,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,25.20112617249697,8.869844175221381,0.26444241830621207,0.26444241830621207,0.26444241830621207,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,7.195045672829229,3.1294907704406514,0.17209482385338004,0.17209482385338004,0.17209482385338004,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,11.688017754103038,5.657694178894847,0.18315168949586189,0.18315168949586189,0.18315168949586189,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,14.102653483519193,4.931301320162154,0.4143195488340095,0.4143195488340095,0.41384732016133874,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9279999700117507,0.6486116118533536,0.016368622940172755,0.016368622940172755,0.01608006530827254,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,65.60137082490868,8.831457855781984,0.38324990624995847,0.3527740161169973,0.3212097905782457,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,38.344697863210826,3.4226539953312187,0.8010955351558533,0.785828596188785,0.7716657496917598,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,21780.0,1143.0,1132.0,1121.0,289474.0
