,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_up < 150.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,33.29926834508977,21.553914930512505,12.11932040933365,12.110107298337793,12.080278577812736,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,242307.8711943947,19373.67451960092,640.3610327466797,640.3610327466797,630.7959278263644,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28077.305352880616,1739.6332894432066,72.6172782984012,66.9156327025706,63.896222195765276,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2535.88760317894,156.18006236282682,9.886693103457425,9.217073812650789,8.6119837477539,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2209.4968742874294,131.69044954078663,13.585903604096742,13.40978139277414,13.235542190485441,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3479.002048145192,576.3391081617154,22.75928217957913,22.75928217957913,22.75928217957913,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,88.56353568050203,18.616847823860624,0.5323635132329536,0.5323635132329536,0.5323635132329536,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,145.98181984940078,74.8009169071071,2.2256924759961647,2.2256924759961647,2.1909975950528047,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,50.615713475690654,28.147615801297313,1.0144659595314112,1.0144659595314112,1.0144659595314112,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,40.039448669725374,21.237130303252616,1.3098481576777001,1.3098481576777001,1.3042752698087996,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,78.0480700301446,40.00412229582705,3.419557681180075,3.4148386231759242,3.4077411282609633,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.859321809073485,2.240992258856087,0.10824503100369759,0.10824503100369759,0.10824503100369759,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,111.37787322551637,34.730895072514556,1.566534708099239,1.4099608917174271,1.2522491760178784,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,35.247865112287464,2.0282932118461936,0.31459331610307784,0.2763553950104355,0.21561497188554093,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,20275.0,1105.0,1091.0,1078.0,281048.0
