,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_up < 150.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,30.492864028845275,19.724983901956758,11.097453861133443,11.089108881303613,11.06078977690846,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,239887.67796729677,19572.51439045788,648.6436945617386,648.6436945617386,639.0785896414233,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,29151.218367869835,1808.7652245093975,73.5216407962373,68.16897055143461,64.97953010356493,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2588.2098128109933,157.8540760435093,9.955994926811638,9.334283587613854,8.43308996057728,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2221.842866838555,131.1647450764578,13.257186082405713,13.081063871083112,12.906824668794414,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3734.55718436001,687.8367382249448,27.5426476249461,27.5426476249461,27.428748156850418,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,109.65821105177957,27.327700753112875,1.218602658254558,1.218602658254558,1.218602658254558,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,133.393167823218,68.07118832836791,2.00909532466295,2.00909532466295,1.9744004437195906,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,46.26137964776919,25.8304947260773,0.9578345694763327,0.9578345694763327,0.9578345694763327,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,37.21955719499633,19.650359981860674,1.182891371667554,1.182891371667554,1.1773184837986534,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,72.02750822891619,36.61820339331204,3.1592596186698962,3.1545405606657453,3.1474430657507844,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.58883116740121,2.0921301768690705,0.10039274685555466,0.10039274685555466,0.10039274685555466,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,109.53294964427364,32.77866875554422,1.3894676723981816,1.2527499287674797,1.1138003424067735,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,36.34067799522692,2.082524735063856,0.321010139167695,0.2850176776825509,0.2242772545576563,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,20275.0,1105.0,1091.0,1078.0,281048.0
