,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48299599979646,40.42663543354845,40.42306662682575,5.705603548668661,3.0659263703852178,1.7266159278678823,1.7253600564776403,1.7189427825018557,,,
QCD,1126208.5372077702,1204990.9790546389,1091829.1940363718,1024773.1170107755,994157.197566238,241685.14137898613,19360.48411830329,527.5218701254346,527.5218701254346,526.9041134261709,,,
TT,126178.01663528233,126178.01663528233,115210.69518129839,105251.0227295055,103462.65944663838,29118.4925967833,1869.2563916447084,82.10541725333059,75.0573388255886,73.02656647974264,,,
ST,11213.018738828068,11213.018738828068,10135.318099485703,9453.421697644919,9311.551870442012,2522.55260732296,153.1733434302468,10.425628545471984,9.820460005447593,9.197420701666362,,,
W+Jets,15930.077126498532,15930.077126498532,14787.420388844965,13942.346335360633,13662.906700192945,3208.0112911049687,234.119797536379,15.572739271223721,15.572739271223721,15.572739271223721,,,
Z+Jets,22772.15825578505,22772.15825578505,20803.69477698711,19642.647887139225,19219.616607725595,8592.358969181747,2983.133056262291,114.40871953836071,114.3075817213761,114.00061000398543,,,
Diboson,1008.6650414863541,1008.6650414863541,936.6974527373479,895.1833225237303,878.5967665689727,367.40059674052185,129.14522892536496,7.8607047168383435,7.631116289890052,7.12890721048592,,,
ggFHbb,223.1087799478259,223.1087799478259,208.33854851724132,190.73841503521086,185.45647306628297,27.91408612888945,10.32797379813573,0.30852768341341635,0.30852768341341635,0.30852768341341635,,,
VBFHbb,71.28205035333777,71.28205035333777,66.57144808367707,62.88355768217262,61.69945176446569,7.636324861868227,3.355243012970839,0.17276610809532167,0.17276610809532167,0.17276610809532167,,,
ZHbb,67.12062616739404,67.12062616739404,62.157177486409175,59.70902915031397,58.36298844539078,11.948199633201629,5.744746773512628,0.1723110146444692,0.1723110146444692,0.1723110146444692,,,
WHbb,116.35029311753367,116.35029311753367,107.53226818147353,104.06975297147089,101.7858474416917,15.171684429659178,5.485467616509499,0.4436987147896411,0.4436987147896411,0.441749730055931,,,
ggZHbb,10.311005316400477,10.311005316400477,9.445010817293094,8.875414890631745,8.725799047873851,1.9675050309844355,0.670942634263963,0.018785886421960524,0.018785886421960524,0.01849732879006031,,,
ttHbb,354.83801865944884,354.83801865944884,321.3325445904349,292.5093450828418,289.32433388844214,66.61888788538279,9.275026207121488,0.4033268056709193,0.3703021884597708,0.3301433464912493,,,
HWW,172.07437391871366,172.07437391871366,156.38756218617007,139.4408970163354,137.79293317392592,38.73765664367115,3.4301710628351976,0.8298964302389815,0.8027191625408376,0.7815029693630111,,,
Data,1383108.0,1383108.0,,,,289474.0,21780.0,1143.0,1132.0,1121.0,1270702.0,1193818.0,1182302.0
