,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48831200738251,40.438563175635224,40.43559010300879,33.10888512971831,11.678133334821824,5.450417571846914,5.4385790767699,5.414618460403435,,,
QCD,1126208.5372077702,1204990.9790546389,1099336.1147222044,1036844.0848393111,1008111.0560891891,244829.3623803425,225174.40691342743,217849.48839711305,217531.37293449647,216506.3587578293,,,
TT,126178.01663528233,126178.01663528233,115918.45927403905,106593.53805175246,104938.62170419967,29078.246999033316,27290.773739377444,25935.631072984837,22272.437543955595,20002.679493774194,,,
ST,11213.018738828068,11213.018738828068,10208.273559011384,9571.038859557377,9438.285937159068,2604.731235751569,2446.4236495051027,2294.8226743372766,2038.3010134152712,1846.333821182554,,,
W+Jets,15930.077126498532,15930.077126498532,14867.542368205846,14082.691219129416,13826.530236295748,2230.1661588899433,2098.659021660106,1923.069554504202,1918.2860212486657,1910.2796099434577,,,
Z+Jets,22772.15825578505,22772.15825578505,20954.152074153593,19867.796934357008,19475.503492886084,3454.645742102165,2908.301926235048,2777.161980442911,2770.2801652441444,2753.2751247019187,,,
Diboson,1008.6650414863541,1008.6650414863541,943.5555847122603,905.2491609263145,889.0362095561452,87.90715783780308,70.34451757195373,68.21458488963609,62.94491026810063,57.756361177955256,,,
ggFHbb,223.1087799478259,223.1087799478259,209.41596660422243,192.75749921763912,187.99129530075237,147.91562471559115,72.21804970551364,70.08074678325963,69.90499122179338,69.39962185597477,,,
VBFHbb,71.28205035333777,71.28205035333777,66.95858134529635,63.678860780527096,62.576322776582195,51.44648668401031,22.9105975763706,22.11862668316079,22.006186938315423,21.805320563078745,,,
ZHbb,67.12062616739404,67.12062616739404,62.544269533191866,60.27744918189762,59.032303185138204,40.41211671880253,18.97344093384439,17.920038797425413,17.880373210534344,17.718186331215996,,,
WHbb,116.35029311753367,116.35029311753367,108.22893312289973,105.02386126671988,102.93753696062797,79.00216009178456,38.59604465088328,35.628728461328215,35.54292642353846,35.30151809564938,,,
ggZHbb,10.311005316400477,10.311005316400477,9.502007335463656,8.972774631007276,8.830439394470925,4.954662401579987,2.6826019927178892,2.570111021145121,2.560971316307723,2.540063929566695,,,
ttHbb,354.83801865944884,354.83801865944884,323.2086442340728,296.1427331988309,293.19279355263234,114.54668267494904,79.12534369522137,75.54603981240564,65.23677784402923,56.47502464307205,,,
HWW,172.07437391871366,172.07437391871366,157.34052193301875,141.3674167442639,139.8360171025445,36.460309898808184,34.398636442625985,30.331172785917982,24.273817438367765,20.055505625083605,,,
Data,1383108.0,1383108.0,,,,281048.0,260773.0,247451.0,242832.0,239356.0,1270702.0,1193818.0,1182302.0
