,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48122773026381,40.425136401099984,40.42177334133724,33.099354219281,21.427604662093636,12.050064795220623,12.041019395698548,12.011338509686638,,,
QCD,1126208.5372077702,1204990.9790546389,1091686.2767067247,1023988.7977089484,994468.4629464046,241426.23804242734,19386.235600796106,655.5833450778675,655.5833450778675,646.0182401575523,,,
TT,126178.01663528233,126178.01663528233,115273.36186126171,105326.70861191051,103602.56899115718,28588.192576098285,1761.844653461824,73.55595914934757,67.88161132139741,64.86220081459209,,,
ST,11213.018738828068,11213.018738828068,10142.455724780455,9458.133006199738,9322.638614477924,2565.9448413655427,156.75167066891368,9.886693103457425,9.217073812650789,8.6119837477539,,,
W+Jets,15930.077126498532,15930.077126498532,14783.19186296935,13931.043934545101,13664.959972341398,2204.138263106691,130.05007155189583,14.213177011733505,14.037054800410901,13.862815598122204,,,
Z+Jets,22772.15825578505,22772.15825578505,20802.972335464023,19632.050664188246,19227.04958843867,3407.2459949641,540.0311088057583,21.75359721046006,21.75359721046006,21.75359721046006,,,
Diboson,1008.6650414863541,1008.6650414863541,936.4402865398723,893.2616454536287,876.8503007563286,86.76682988638129,17.43222219294304,0.3455932721345744,0.3455932721345744,0.3455932721345744,,,
ggFHbb,223.1087799478259,223.1087799478259,208.30195403751515,190.49653420734825,185.54171233559265,146.06193380595067,74.60201465728088,2.1789149408616555,2.1789149408616555,2.1442200599182955,,,
VBFHbb,71.28205035333777,71.28205035333777,66.61287465011183,62.84198870650114,61.685130797987306,50.72257489495237,28.134988223271826,1.0230097963425013,1.0230097963425013,1.0230097963425013,,,
ZHbb,67.12062616739404,67.12062616739404,62.11539479001107,59.65733937566006,58.377605837385396,39.9959732302309,21.223146123316347,1.3169358974314622,1.3169358974314622,1.3113630095625615,,,
WHbb,116.35029311753367,116.35029311753367,107.49712890863049,103.98776396880199,101.82282820093816,78.1501425825835,40.04290739465552,3.445222613053378,3.4405035550492276,3.433406060134266,,,
ggZHbb,10.311005316400477,10.311005316400477,9.447615984178295,8.874781762097546,8.729540016747084,4.892113544438805,2.24708992126467,0.11055090116294844,0.11055090116294844,0.11055090116294844,,,
ttHbb,354.83801865944884,354.83801865944884,321.3836060749171,292.643026654335,289.53986342140485,112.80959092450018,34.97227047384465,1.570621052722998,1.4123973514084849,1.2574633538405031,,,
HWW,172.07437391871366,172.07437391871366,156.48847906642104,139.66369434781421,138.04955422749703,35.78589105002122,2.0251031071359673,0.3135389494319794,0.27465228948604375,0.21391186636114917,,,
Data,1383108.0,1383108.0,,,,281048.0,20275.0,1105.0,1091.0,1078.0,1270702.0,1193818.0,1182302.0
