,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_down < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,5.733669257164415,2.650141027834349,1.2454266134197198,1.2442528797924541,1.2348947819211753,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,241764.20748519964,222400.0680274642,215059.0616366049,214647.31922293795,213584.07668261317,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,29252.440445308814,27371.729659952147,26020.823885949354,23099.06933419463,20746.405253831887,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2522.0748864400866,2368.4878071679973,2227.108310911303,2021.6258464760353,1827.9568612123105,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,3196.6043900173954,2962.559338197452,2758.41591999926,2750.929250351225,2743.026194810139,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,8579.959879957678,5602.751681370455,5371.717543727876,5358.825926399953,5331.881388058642,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,364.7322896174927,236.69979969447843,219.36221953909228,209.19787219764694,198.28972299098226,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,27.728917518871544,17.49139462554422,16.827108333697815,16.75635166728422,16.653366207281863,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,7.719223045375182,4.325798854840549,4.171081051694882,4.148703863438966,4.100238367457864,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,11.942824552645469,6.204356382116396,5.960034735140759,5.946034106309639,5.891208142865787,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,15.154224862478376,9.684679852012628,8.985730197991224,8.965519535555236,8.887578037013604,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9691384953896893,1.2981872187586352,1.259836441611124,1.2548592800700171,1.244922662730525,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,66.76631042838261,57.46035200000145,54.90743059936247,48.226975989744545,42.12455175562566,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,38.86689124724289,35.44008151526258,30.520138580084463,24.868668136879982,20.560426696514387,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,267694.0,254048.0,250108.0,246471.0,289474.0
