,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_up < 170.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,5.5334837344199945,2.9571005901782152,1.667585483879607,1.6664973239631489,1.6602278845005116,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,242576.20184197574,19370.183556163152,562.6649966090861,562.6649966090861,562.0472399098223,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28536.221077454124,1819.9471702628775,79.78304757132705,72.55444694267374,70.7385356988363,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2501.1403333823,153.5121822543905,10.462861499105355,9.857692959080966,9.234653655299734,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,3334.909385898127,242.6636611852935,15.790497074058129,15.790497074058129,15.790497074058129,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,8732.813635759056,3050.043495456763,118.34112856826587,118.23999075128124,117.86047658862499,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,382.4325870634181,133.50701597752595,8.339285600428491,8.1096971734802,7.607488094076066,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,27.680520061767417,10.03279234436132,0.2617501482789073,0.2617501482789073,0.2617501482789073,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,7.781749732805459,3.3924048751140967,0.17276610809532167,0.17276610809532167,0.17276610809532167,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,12.072854352077947,5.862111868070669,0.18131406961553018,0.18131406961553018,0.18131406961553018,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,15.276322942506763,5.53132571855487,0.47230469053981683,0.47230469053981683,0.4703557058061067,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,2.0067018336326825,0.687706593571734,0.02143300670704885,0.02143300670704885,0.021144449075148633,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,66.00297851297698,9.328925946407264,0.4007049956734442,0.3676803784622957,0.3321463638528159,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,38.24484594400634,3.4342853727602245,0.8534804276939583,0.8263031599958144,0.8050869668179879,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,21780.0,1143.0,1132.0,1121.0,289474.0
