,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48299599979646,40.42663543354845,40.42306662682575,5.705603548668661,2.639677178283443,1.2405788932139716,1.239257681344096,1.229761404216101,,,
QCD,1126208.5372077702,1204990.9790546389,1091829.1940363718,1024773.1170107755,994157.197566238,241685.14137898613,222324.6572606828,214990.6208381721,214581.84556126015,213523.7013650803,,,
TT,126178.01663528233,126178.01663528233,115210.69518129839,105251.0227295055,103462.65944663838,29118.4925967833,27249.236205138594,25906.896612997803,22992.73215838085,20654.87664494469,,,
ST,11213.018738828068,11213.018738828068,10135.318099485703,9453.421697644919,9311.551870442012,2522.55260732296,2369.379263892713,2227.9940876921437,2022.8138387651338,1829.1277682391346,,,
W+Jets,15930.077126498532,15930.077126498532,14787.420388844965,13942.346335360633,13662.906700192945,3208.0112911049687,2973.89149356859,2769.6491974821806,2762.300794742444,2754.397739201357,,,
Z+Jets,22772.15825578505,22772.15825578505,20803.69477698711,19642.647887139225,19219.616607725595,8592.358969181747,5609.225912919455,5377.648699366612,5364.75708203869,5338.140691278284,,,
Diboson,1008.6650414863541,1008.6650414863541,936.6974527373479,895.1833225237303,878.5967665689727,367.40059674052185,238.2553678151569,221.1902826760768,210.76365823022434,199.85550902355962,,,
ggFHbb,223.1087799478259,223.1087799478259,208.33854851724132,190.73841503521086,185.45647306628297,27.91408612888945,17.58611233075372,16.921826038907316,16.85106937249372,16.74808391249136,,,
VBFHbb,71.28205035333777,71.28205035333777,66.57144808367707,62.88355768217262,61.69945176446569,7.636324861868227,4.281081848897388,4.126364045751723,4.103986857495806,4.055521361514705,,,
ZHbb,67.12062616739404,67.12062616739404,62.157177486409175,59.70902915031397,58.36298844539078,11.948199633201629,6.2034528596889995,5.961591642675352,5.949966069843918,5.895140106400065,,,
WHbb,116.35029311753367,116.35029311753367,107.53226818147353,104.06975297147089,101.7858474416917,15.171684429659178,9.68621681314968,8.985609714583674,8.965399052147685,8.887457553606053,,,
ggZHbb,10.311005316400477,10.311005316400477,9.445010817293094,8.875414890631745,8.725799047873851,1.9675050309844355,1.2965623967204727,1.2582146004292682,1.2532374388881613,1.2432065466504993,,,
ttHbb,354.83801865944884,354.83801865944884,321.3325445904349,292.5093450828418,289.32433388844214,66.61888788538279,57.3438616782613,54.780610967502355,48.12956309831797,42.052966775980764,,,
HWW,172.07437391871366,172.07437391871366,156.38756218617007,139.4408970163354,137.79293317392592,38.73765664367115,35.30748558083595,30.38927257960247,24.75425046224025,20.440782252427695,,,
Data,1383108.0,1383108.0,,,,289474.0,267694.0,254048.0,250108.0,246471.0,1270702.0,1193818.0,1182302.0
