,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48122773026381,40.425136401099984,40.42177334133724,5.705074322474586,2.6392464984010133,1.2402760284675336,1.238954816597658,1.2295967187263794,,,
QCD,1126208.5372077702,1204990.9790546389,1091686.2767067247,1023988.7977089484,994468.4629464046,241787.66794069944,222459.50621531505,215136.08503369268,214719.31182447582,213652.9130401579,,,
TT,126178.01663528233,126178.01663528233,115273.36186126171,105326.70861191051,103602.56899115718,29155.156297930866,27283.967127623422,25939.46899931368,23014.64361328752,20665.50574836773,,,
ST,11213.018738828068,11213.018738828068,10142.455724780455,9458.133006199738,9322.638614477924,2526.593164865212,2372.2843912932244,2230.6537867527477,2024.447742520941,1829.7253893161553,,,
W+Jets,15930.077126498532,15930.077126498532,14783.19186296935,13931.043934545101,13664.959972341398,3210.6219546875864,2976.5399040949605,2771.5006403560096,2764.013970707975,2756.167973060051,,,
Z+Jets,22772.15825578505,22772.15825578505,20802.972335464023,19632.050664188246,19227.04958843867,8600.147950933964,5613.946993665315,5382.312350633223,5369.462531180884,5342.576827364083,,,
Diboson,1008.6650414863541,1008.6650414863541,936.4402865398723,893.2616454536287,876.8503007563286,366.91741786726857,238.21624571703666,220.87866556165056,210.45204111579807,199.54389190913338,,,
ggFHbb,223.1087799478259,223.1087799478259,208.30195403751515,190.49653420734825,185.54171233559265,27.854802536436765,17.565387470401138,16.901101178554732,16.83034451214114,16.72735905213878,,,
VBFHbb,71.28205035333777,71.28205035333777,66.61287465011183,62.84198870650114,61.685130797987306,7.633141582288459,4.290669467431808,4.135951664286141,4.113574476030225,4.065108980049124,,,
ZHbb,67.12062616739404,67.12062616739404,62.11539479001107,59.65733937566006,58.377605837385396,11.951001485347788,6.201054455319537,5.9566297433153075,5.945004170483873,5.890178207040021,,,
WHbb,116.35029311753367,116.35029311753367,107.49712890863049,103.98776396880199,101.82282820093816,15.1530160484222,9.679521185678983,8.976918275020648,8.956707612584662,8.878615015354253,,,
ggZHbb,10.311005316400477,10.311005316400477,9.447615984178295,8.874781762097546,8.729540016747084,1.9679903543750725,1.2977611524891253,1.2593735846523249,1.2543964231112181,1.2444247749822204,,,
ttHbb,354.83801865944884,354.83801865944884,321.3836060749171,292.643026654335,289.53986342140485,66.66920684179705,57.40207812090218,54.849005300874545,48.182805001637455,42.08131515957468,,,
HWW,172.07437391871366,172.07437391871366,156.48847906642104,139.66369434781421,138.04955422749703,38.8108436612318,35.37636807510035,30.44516695798877,24.809438639957353,20.483234907830813,,,
Data,1383108.0,1383108.0,,,,289474.0,267694.0,254048.0,250108.0,246471.0,1270702.0,1193818.0,1182302.0
