,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48831200738251,40.438563175635224,40.43559010300879,5.70795836407197,3.066817537193941,1.7267433837952795,1.7254875124050373,1.7190702384292529,,,
QCD,1126208.5372077702,1204990.9790546389,1099336.1147222044,1036844.0848393111,1008111.0560891891,245048.51749482384,19594.270604488243,528.9303611577988,528.9303611577988,528.312604458535,,,
TT,126178.01663528233,126178.01663528233,115918.45927403905,106593.53805175246,104938.62170419967,29558.29062343011,1896.4911783958423,82.74672837191872,75.67227976712552,73.58470183703005,,,
ST,11213.018738828068,11213.018738828068,10208.273559011384,9571.038859557377,9438.285937159068,2561.0860365121994,155.7677289794463,10.432593823771262,9.82742528374687,9.204385979965638,,,
W+Jets,15930.077126498532,15930.077126498532,14867.542368205846,14082.691219129416,13826.530236295748,3252.0958553767177,237.4336268757046,15.624496097942387,15.624496097942387,15.624496097942387,,,
Z+Jets,22772.15825578505,22772.15825578505,20954.152074153593,19867.796934357008,19475.503492886084,8708.3747990281,3022.543843510085,116.19981895608393,116.0986811390993,115.79170942170865,,,
Diboson,1008.6650414863541,1008.6650414863541,943.5555847122603,905.2491609263145,889.0362095561452,371.3596780063221,130.9826014871808,7.8607047168383435,7.631116289890052,7.12890721048592,,,
ggFHbb,223.1087799478259,223.1087799478259,209.41596660422243,192.75749921763912,187.99129530075237,28.241745815215097,10.413504353237371,0.30852768341341635,0.30852768341341635,0.30852768341341635,,,
VBFHbb,71.28205035333777,71.28205035333777,66.95858134529635,63.678860780527096,62.576322776582195,7.739074593620808,3.4038057135870847,0.17276610809532167,0.17276610809532167,0.17276610809532167,,,
ZHbb,67.12062616739404,67.12062616739404,62.544269533191866,60.27744918189762,59.032303185138204,12.13337911264502,5.818809098605478,0.17107471255932463,0.17107471255932463,0.17107471255932463,,,
WHbb,116.35029311753367,116.35029311753367,108.22893312289973,105.02386126671988,102.93753696062797,15.338172373365206,5.536539513943792,0.4476430669162129,0.4476430669162129,0.44569408218250284,,,
ggZHbb,10.311005316400477,10.311005316400477,9.502007335463656,8.972774631007276,8.830439394470925,1.9952150719758348,0.6829213537413613,0.019119761701100153,0.019119761701100153,0.01883120406919994,,,
ttHbb,354.83801865944884,354.83801865944884,323.2086442340728,296.1427331988309,293.19279355263234,67.64515193466748,9.402164231309483,0.409199413374237,0.3759785253460509,0.3358196833775295,,,
HWW,172.07437391871366,172.07437391871366,157.34052193301875,141.3674167442639,139.8360171025445,39.287101631607925,3.4670661987513767,0.8348577710807483,0.8076805033826047,0.7864643102047781,,,
Data,1383108.0,1383108.0,,,,289474.0,21780.0,1143.0,1132.0,1121.0,1270702.0,1193818.0,1182302.0
