,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.670729647881297,1.6670435576094471,1.1242415902478802,1.1223540985584193,1.1159706679340415
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2614701622879583,1.259440993536852,0.8320154934004549,0.8306814940456058,0.8259817577598386
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3292502684741134,1.3267337041832328,0.7349007577218747,0.7336563744628555,0.7295799342743694
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.138468689194001,2.1340193154121625,1.4295571811275105,1.427082708657754,1.4180444264276864
VBFHHbbVV,0.034040204061650904,0.03393582938740616,0.033871160273235265,0.02237980368092741,0.02229935029088674,0.022125489468849176
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.73644397825026,20.722037733532726,15.226761915577814,15.198897797684529,15.126822883675192
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.744869646013065,34.72131434687679,25.478846337370033,25.432602269416698,25.310400504592018
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484227942935777,0.0347803482112243,0.0181313215051337,0.018088449452840674,0.017985627010472065
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.882518787146754,18.871693381051568,13.905326427288504,13.880118073276952,13.815705038506508
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08871362076753309,0.08853325223910656,0.061207616227071056,0.061070792380909115,0.06070783443612309
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.21423154769202,11.207374519255973,8.25002836344346,8.234984790132012,8.195062706641563
